date;Hotels;Management;Tunisia;Reading Women;air travel;isPartial
2022-01-02;79;26;1;0;1;False
2022-01-09;88;34;2;0;1;False
2022-01-16;73;32;2;0;1;False
2022-01-23;79;32;4;0;1;False
2022-01-30;81;30;2;0;1;False
2022-02-06;78;33;1;0;1;False
2022-02-13;80;31;1;0;1;False
2022-02-20;80;31;1;0;1;False
2022-02-27;72;31;1;0;1;False
2022-03-06;68;33;1;0;1;False
2022-03-13;78;31;1;0;1;False
2022-03-20;79;30;2;0;1;False
2022-03-27;73;32;2;0;1;False
2022-04-03;76;29;2;0;1;False
2022-04-10;78;25;2;0;1;False
2022-04-17;79;25;2;0;1;False
2022-04-24;76;29;2;0;1;False
2022-05-01;82;29;2;0;1;False
2022-05-08;75;36;2;0;1;False
2022-05-15;83;30;2;0;1;False
2022-05-22;80;30;2;0;1;False
2022-05-29;81;21;2;0;1;False
2022-06-05;87;29;2;0;1;False
2022-06-12;86;27;3;0;1;False
2022-06-19;80;27;2;0;1;False
2022-06-26;86;27;2;0;1;False
2022-07-03;84;27;3;0;1;False
2022-07-10;82;28;2;0;1;False
2022-07-17;82;27;2;0;1;False
2022-07-24;90;28;2;0;1;False
2022-07-31;89;26;2;0;1;False
2022-08-07;100;27;2;0;1;False
2022-08-14;83;25;2;0;1;False
2022-08-21;86;25;2;0;1;False
2022-08-28;83;24;2;0;1;False
2022-09-04;78;29;2;0;1;False
2022-09-11;82;28;2;0;1;False
2022-09-18;75;27;3;0;1;False
2022-09-25;72;30;3;0;1;False
2022-10-02;66;28;2;0;1;False
2022-10-09;75;31;2;0;1;False
2022-10-16;70;29;2;0;1;False
2022-10-23;69;27;2;0;1;False
2022-10-30;68;28;2;0;1;False
2022-11-06;67;30;2;0;1;False
2022-11-13;61;30;2;0;1;False
2022-11-20;54;27;18;0;1;False
2022-11-27;56;27;13;0;1;False
2022-12-04;51;27;2;0;1;False
2022-12-11;53;27;2;0;1;False
2022-12-18;52;21;2;0;1;False
2022-12-25;74;15;2;0;1;False
2023-01-01;83;27;3;0;1;False
2023-01-08;81;33;2;0;1;False
2023-01-15;82;32;2;0;1;False
2023-01-22;78;32;2;0;1;False
2023-01-29;78;33;2;0;1;False
