date;Aston Villa Women;Digital media;Piracy at sea;BMW;air travel;isPartial
2022-01-02;0;1;0;84;2;False
2022-01-09;0;1;0;94;3;False
2022-01-16;0;1;0;82;2;False
2022-01-23;0;1;0;92;2;False
2022-01-30;0;1;0;92;3;False
2022-02-06;0;1;0;82;2;False
2022-02-13;0;1;0;78;3;False
2022-02-20;0;1;0;82;3;False
2022-02-27;0;1;0;78;2;False
2022-03-06;0;1;0;82;2;False
2022-03-13;0;1;0;83;2;False
2022-03-20;0;1;0;85;2;False
2022-03-27;0;1;0;79;2;False
2022-04-03;0;1;0;79;2;False
2022-04-10;0;1;0;89;2;False
2022-04-17;0;1;0;79;2;False
2022-04-24;0;1;0;78;2;False
2022-05-01;0;1;0;83;2;False
2022-05-08;0;1;0;80;2;False
2022-05-15;0;1;0;79;2;False
2022-05-22;0;1;0;79;2;False
2022-05-29;0;1;0;81;2;False
2022-06-05;0;1;0;85;3;False
2022-06-12;0;1;0;86;2;False
2022-06-19;0;1;0;100;2;False
2022-06-26;0;1;0;83;2;False
2022-07-03;0;1;0;87;2;False
2022-07-10;0;1;0;88;2;False
2022-07-17;0;1;0;80;2;False
2022-07-24;0;1;0;87;2;False
2022-07-31;0;1;0;87;2;False
2022-08-07;0;1;0;83;2;False
2022-08-14;0;1;0;78;2;False
2022-08-21;0;1;0;83;2;False
2022-08-28;0;1;0;85;2;False
2022-09-04;0;1;0;92;2;False
2022-09-11;0;1;0;92;2;False
2022-09-18;1;1;0;83;2;False
2022-09-25;1;1;0;73;2;False
2022-10-02;0;1;0;82;2;False
2022-10-09;0;1;0;85;2;False
2022-10-16;0;1;0;82;1;False
2022-10-23;0;1;0;75;1;False
2022-10-30;0;1;0;75;1;False
2022-11-06;0;1;0;81;2;False
2022-11-13;0;1;0;76;1;False
2022-11-20;0;1;0;70;2;False
2022-11-27;1;1;0;76;2;False
2022-12-04;0;1;0;72;1;False
2022-12-11;0;1;0;75;1;False
2022-12-18;0;1;0;78;1;False
2022-12-25;0;0;0;79;2;False
2023-01-01;0;1;0;83;2;False
2023-01-08;0;1;0;87;2;False
2023-01-15;0;1;0;87;2;False
2023-01-22;1;1;0;85;2;False
2023-01-29;1;1;0;94;2;False
