date;Arkansas;Mila Kunis;Julian Sands;Action games;air travel;isPartial
2022-01-02;4;4;0;1;9;False
2022-01-09;3;3;0;1;10;False
2022-01-16;3;3;0;1;8;False
2022-01-23;3;5;0;1;8;False
2022-01-30;3;4;0;1;10;False
2022-02-06;3;4;0;1;9;False
2022-02-13;3;4;1;1;10;False
2022-02-20;3;8;0;1;10;False
2022-02-27;3;18;0;1;8;False
2022-03-06;3;14;0;1;9;False
2022-03-13;3;9;0;1;9;False
2022-03-20;4;8;0;1;9;False
2022-03-27;4;7;0;1;9;False
2022-04-03;3;7;0;1;8;False
2022-04-10;3;4;0;1;7;False
2022-04-17;3;4;0;1;8;False
2022-04-24;3;6;0;1;8;False
2022-05-01;4;4;0;1;9;False
2022-05-08;5;3;0;1;9;False
2022-05-15;6;4;0;1;9;False
2022-05-22;4;4;0;1;9;False
2022-05-29;3;5;0;1;9;False
2022-06-05;4;4;0;1;10;False
2022-06-12;3;3;0;1;9;False
2022-06-19;4;4;0;1;8;False
2022-06-26;4;3;0;1;9;False
2022-07-03;4;3;0;1;9;False
2022-07-10;4;4;0;1;9;False
2022-07-17;3;4;0;1;9;False
2022-07-24;4;4;0;1;9;False
2022-07-31;3;3;0;1;8;False
2022-08-07;3;4;0;1;8;False
2022-08-14;4;5;0;1;8;False
2022-08-21;11;4;0;1;7;False
2022-08-28;7;4;0;1;7;False
2022-09-04;3;5;0;1;8;False
2022-09-11;4;5;0;1;7;False
2022-09-18;3;4;0;1;7;False
2022-09-25;3;5;0;1;7;False
2022-10-02;4;14;0;1;6;False
2022-10-09;4;29;0;1;6;False
2022-10-16;3;12;0;1;6;False
2022-10-23;3;9;0;1;5;False
2022-10-30;3;6;0;1;5;False
2022-11-06;4;6;0;1;6;False
2022-11-13;3;6;0;1;5;False
2022-11-20;2;5;0;1;6;False
2022-11-27;3;5;0;1;6;False
2022-12-04;3;5;0;1;5;False
2022-12-11;2;5;0;1;5;False
2022-12-18;3;6;0;1;5;False
2022-12-25;4;6;0;1;7;False
2023-01-01;4;5;0;1;8;False
2023-01-08;4;4;0;1;7;False
2023-01-15;3;6;80;1;7;False
2023-01-22;3;7;100;1;6;False
2023-01-29;3;11;31;1;7;False
