date;portugal;Michael Jackson;Ryder Cup;dublin;air travel;isPartial
2022-01-02;14;3;0;12;1;False
2022-01-09;16;3;0;14;1;False
2022-01-16;15;3;0;13;1;False
2022-01-23;19;3;0;14;1;False
2022-01-30;21;4;0;16;1;False
2022-02-06;20;3;0;15;1;False
2022-02-13;19;3;0;17;1;False
2022-02-20;19;3;0;17;1;False
2022-02-27;17;3;0;14;1;False
2022-03-06;18;3;0;16;1;False
2022-03-13;22;3;0;17;1;False
2022-03-20;33;3;0;16;1;False
2022-03-27;31;3;0;16;1;False
2022-04-03;21;3;1;16;1;False
2022-04-10;20;3;0;18;1;False
2022-04-17;22;3;0;16;1;False
2022-04-24;21;3;0;16;1;False
2022-05-01;23;3;0;16;1;False
2022-05-08;22;3;0;16;1;False
2022-05-15;20;3;0;16;1;False
2022-05-22;20;3;0;18;1;False
2022-05-29;25;3;0;19;1;False
2022-06-05;29;3;0;18;1;False
2022-06-12;22;3;0;18;1;False
2022-06-19;20;4;1;19;1;False
2022-06-26;19;4;0;19;1;False
2022-07-03;22;3;0;18;1;False
2022-07-10;24;3;1;19;1;False
2022-07-17;20;3;1;16;1;False
2022-07-24;17;4;0;18;1;False
2022-07-31;18;3;1;17;1;False
2022-08-07;18;3;0;17;1;False
2022-08-14;16;3;0;16;1;False
2022-08-21;17;3;0;17;1;False
2022-08-28;16;4;0;16;1;False
2022-09-04;16;4;1;21;1;False
2022-09-11;15;3;1;19;1;False
2022-09-18;18;3;1;15;1;False
2022-09-25;22;3;1;15;1;False
2022-10-02;14;3;1;15;1;False
2022-10-09;14;3;0;15;1;False
2022-10-16;13;3;0;17;1;False
2022-10-23;13;4;0;16;1;False
2022-10-30;12;3;0;16;1;False
2022-11-06;14;3;0;16;1;False
2022-11-13;20;3;0;15;1;False
2022-11-20;51;3;0;13;1;False
2022-11-27;62;3;0;14;1;False
2022-12-04;100;3;0;15;1;False
2022-12-11;16;3;0;15;1;False
2022-12-18;13;3;0;13;1;False
2022-12-25;14;4;0;14;1;False
2023-01-01;17;3;1;16;1;False
2023-01-08;16;4;0;17;1;False
2023-01-15;16;3;0;16;1;False
2023-01-22;16;3;0;18;1;False
2023-01-29;16;3;1;17;1;False
