date;Aretha Franklin;Internet;Judaism;mark harper;air travel;isPartial
2022-01-02;1;93;2;0;3;False
2022-01-09;2;97;2;0;4;False
2022-01-16;1;93;2;0;3;False
2022-01-23;2;86;2;0;3;False
2022-01-30;1;100;2;1;4;False
2022-02-06;1;98;2;0;4;False
2022-02-13;1;96;1;0;4;False
2022-02-20;1;88;1;0;4;False
2022-02-27;1;92;2;0;3;False
2022-03-06;1;96;2;0;3;False
2022-03-13;1;89;2;0;3;False
2022-03-20;6;86;2;0;3;False
2022-03-27;1;84;2;0;4;False
2022-04-03;1;84;1;0;3;False
2022-04-10;1;88;1;0;3;False
2022-04-17;2;77;2;2;3;False
2022-04-24;1;81;2;0;3;False
2022-05-01;1;90;2;0;3;False
2022-05-08;1;84;2;0;3;False
2022-05-15;3;98;2;0;4;False
2022-05-22;3;81;2;1;3;False
2022-05-29;4;77;1;0;3;False
2022-06-05;3;88;2;0;4;False
2022-06-12;2;97;2;0;3;False
2022-06-19;2;88;2;0;3;False
2022-06-26;2;85;2;0;3;False
2022-07-03;2;85;1;1;4;False
2022-07-10;2;87;1;0;4;False
2022-07-17;2;86;1;0;3;False
2022-07-24;2;95;1;0;3;False
2022-07-31;1;93;1;0;3;False
2022-08-07;1;90;1;0;3;False
2022-08-14;2;85;1;0;3;False
2022-08-21;6;90;1;0;3;False
2022-08-28;2;90;1;0;3;False
2022-09-04;1;89;2;0;3;False
2022-09-11;1;92;2;0;3;False
2022-09-18;1;92;2;0;3;False
2022-09-25;2;93;2;0;3;False
2022-10-02;1;93;2;0;2;False
2022-10-09;1;90;2;0;2;False
2022-10-16;1;91;2;0;2;False
2022-10-23;1;92;2;2;2;False
2022-10-30;1;93;2;0;2;False
2022-11-06;1;94;2;1;2;False
2022-11-13;1;86;2;0;2;False
2022-11-20;1;83;2;0;2;False
2022-11-27;1;87;2;1;2;False
2022-12-04;1;81;2;0;2;False
2022-12-11;1;84;2;1;2;False
2022-12-18;1;80;1;0;2;False
2022-12-25;1;75;1;0;3;False
2023-01-01;1;83;2;0;3;False
2023-01-08;1;98;2;0;3;False
2023-01-15;1;88;2;0;3;False
2023-01-22;4;88;2;0;2;False
2023-01-29;2;93;2;0;3;False
