date;cia;Royal commission into robodebt;Pakistan women's cricket team;Roy Jenkins;air travel;isPartial
2022-01-02;72;0;0;2;81;False
2022-01-09;80;0;1;0;93;False
2022-01-16;65;0;1;2;69;False
2022-01-23;70;0;0;1;76;False
2022-01-30;66;0;0;1;87;False
2022-02-06;71;0;0;2;86;False
2022-02-13;72;0;0;1;87;False
2022-02-20;84;0;0;2;88;False
2022-02-27;84;0;0;0;78;False
2022-03-06;78;0;0;1;81;False
2022-03-13;72;0;0;3;81;False
2022-03-20;66;0;0;1;79;False
2022-03-27;61;0;0;2;84;False
2022-04-03;72;0;0;1;78;False
2022-04-10;70;0;0;0;66;False
2022-04-17;64;0;0;1;73;False
2022-04-24;69;0;0;1;76;False
2022-05-01;67;0;1;3;78;False
2022-05-08;74;0;0;1;81;False
2022-05-15;70;0;0;2;84;False
2022-05-22;66;0;0;0;79;False
2022-05-29;64;0;0;4;81;False
2022-06-05;70;0;0;1;90;False
2022-06-12;68;0;0;2;81;False
2022-06-19;63;0;0;1;73;False
2022-06-26;57;0;2;2;78;False
2022-07-03;67;0;0;3;83;False
2022-07-10;74;0;2;0;86;False
2022-07-17;70;0;2;0;82;False
2022-07-24;73;0;0;0;81;False
2022-07-31;75;0;0;1;72;False
2022-08-07;78;0;0;2;71;False
2022-08-14;69;0;0;1;69;False
2022-08-21;64;0;0;0;60;False
2022-08-28;72;0;0;1;66;False
2022-09-04;58;0;0;0;72;False
2022-09-11;64;0;0;1;62;False
2022-09-18;69;0;0;2;61;False
2022-09-25;77;0;1;1;61;False
2022-10-02;72;0;0;3;59;False
2022-10-09;73;0;0;0;58;False
2022-10-16;69;0;0;2;51;False
2022-10-23;66;0;0;2;48;False
2022-10-30;69;0;0;2;48;False
2022-11-06;74;0;0;2;53;False
2022-11-13;71;0;0;1;45;False
2022-11-20;63;0;0;1;56;False
2022-11-27;78;0;0;1;55;False
2022-12-04;68;0;0;0;47;False
2022-12-11;69;0;2;3;48;False
2022-12-18;100;0;0;2;45;False
2022-12-25;93;0;1;0;60;False
2023-01-01;89;0;0;4;69;False
2023-01-08;85;0;0;1;64;False
2023-01-15;78;0;1;1;63;False
2023-01-22;85;0;1;2;57;False
2023-01-29;78;0;2;1;62;False
