date;European court of human rights;Board games;alcohol;Saudi Arabia;air travel;isPartial
2022-01-02;0;3;47;4;2;False
2022-01-09;0;3;44;5;2;False
2022-01-16;0;3;41;4;2;False
2022-01-23;0;3;39;5;2;False
2022-01-30;0;3;43;6;2;False
2022-02-06;0;2;40;5;2;False
2022-02-13;0;3;39;4;2;False
2022-02-20;0;2;38;6;2;False
2022-02-27;0;2;37;5;2;False
2022-03-06;0;2;42;7;2;False
2022-03-13;0;2;43;20;2;False
2022-03-20;0;2;40;21;2;False
2022-03-27;0;2;40;23;2;False
2022-04-03;0;2;41;6;2;False
2022-04-10;0;2;41;5;2;False
2022-04-17;0;2;41;5;2;False
2022-04-24;0;2;38;15;2;False
2022-05-01;0;2;46;6;2;False
2022-05-08;0;2;44;5;2;False
2022-05-15;0;2;42;5;2;False
2022-05-22;0;2;41;4;2;False
2022-05-29;0;2;43;4;2;False
2022-06-05;0;2;43;6;2;False
2022-06-12;2;2;47;5;2;False
2022-06-19;0;2;44;5;2;False
2022-06-26;0;2;42;6;2;False
2022-07-03;0;2;42;5;2;False
2022-07-10;0;2;48;5;2;False
2022-07-17;0;2;42;5;2;False
2022-07-24;0;2;41;9;2;False
2022-07-31;0;2;42;6;2;False
2022-08-07;0;2;46;6;2;False
2022-08-14;0;2;40;11;2;False
2022-08-21;0;2;42;6;2;False
2022-08-28;0;2;39;5;2;False
2022-09-04;0;2;33;5;2;False
2022-09-11;0;2;40;6;2;False
2022-09-18;0;3;41;5;2;False
2022-09-25;0;3;37;6;2;False
2022-10-02;0;3;40;5;2;False
2022-10-09;0;3;41;6;1;False
2022-10-16;0;3;40;7;1;False
2022-10-23;0;3;43;8;1;False
2022-10-30;0;3;39;8;1;False
2022-11-06;0;5;41;7;1;False
2022-11-13;0;5;41;8;1;False
2022-11-20;0;6;43;100;1;False
2022-11-27;0;6;39;29;1;False
2022-12-04;0;7;41;9;1;False
2022-12-11;0;8;45;7;1;False
2022-12-18;0;8;58;7;1;False
2022-12-25;0;6;58;8;2;False
2023-01-01;0;3;48;9;2;False
2023-01-08;0;3;41;9;2;False
2023-01-15;0;3;42;8;2;False
2023-01-22;0;3;40;7;1;False
2023-01-29;0;3;43;7;2;False
