date;Prostate cancer;Sweeney Todd;Lobbying;Miami;air travel;isPartial
2022-01-02;8;1;0;26;5;False
2022-01-09;8;1;0;29;5;False
2022-01-16;7;2;1;24;4;False
2022-01-23;8;1;1;25;4;False
2022-01-30;8;1;1;26;5;False
2022-02-06;7;1;0;24;5;False
2022-02-13;23;1;1;24;5;False
2022-02-20;10;2;0;25;5;False
2022-02-27;13;1;1;23;4;False
2022-03-06;9;1;1;25;5;False
2022-03-13;8;1;0;27;5;False
2022-03-20;8;1;0;62;4;False
2022-03-27;7;1;1;74;5;False
2022-04-03;9;1;1;36;4;False
2022-04-10;7;1;0;25;4;False
2022-04-17;8;2;0;25;4;False
2022-04-24;8;2;1;37;4;False
2022-05-01;7;2;1;96;4;False
2022-05-08;8;2;1;100;5;False
2022-05-15;8;2;1;32;5;False
2022-05-22;8;2;1;27;5;False
2022-05-29;7;3;1;24;5;False
2022-06-05;8;3;1;23;5;False
2022-06-12;9;2;0;24;5;False
2022-06-19;8;2;0;23;4;False
2022-06-26;8;2;0;21;4;False
2022-07-03;7;2;0;23;5;False
2022-07-10;10;2;1;26;5;False
2022-07-17;7;2;0;35;5;False
2022-07-24;7;2;0;23;5;False
2022-07-31;7;1;0;22;4;False
2022-08-07;8;1;0;22;4;False
2022-08-14;7;1;0;20;4;False
2022-08-21;7;1;0;22;3;False
2022-08-28;21;1;0;21;4;False
2022-09-04;13;1;0;20;4;False
2022-09-11;9;1;1;21;4;False
2022-09-18;9;1;0;24;3;False
2022-09-25;8;1;1;28;4;False
2022-10-02;9;2;0;22;3;False
2022-10-09;8;2;0;20;3;False
2022-10-16;9;1;0;23;3;False
2022-10-23;8;2;0;23;3;False
2022-10-30;9;1;1;23;3;False
2022-11-06;11;1;0;23;3;False
2022-11-13;8;1;1;21;3;False
2022-11-20;8;1;0;18;3;False
2022-11-27;9;1;1;22;3;False
2022-12-04;8;1;1;20;3;False
2022-12-11;7;1;0;21;3;False
2022-12-18;8;1;0;23;3;False
2022-12-25;6;2;0;27;3;False
2023-01-01;7;1;0;29;4;False
2023-01-08;10;1;1;27;4;False
2023-01-15;10;1;1;29;4;False
2023-01-22;12;1;0;25;3;False
2023-01-29;11;1;0;23;4;False
