date;First past the post;Golden Globes;migrant crisis;Education;air travel;isPartial
2022-01-02;0;1;0;72;4;False
2022-01-09;0;14;0;94;5;False
2022-01-16;0;2;0;79;3;False
2022-01-23;0;1;0;82;4;False
2022-01-30;0;1;0;86;4;False
2022-02-06;0;1;0;76;4;False
2022-02-13;0;1;0;68;4;False
2022-02-20;0;0;0;75;4;False
2022-02-27;0;0;0;68;4;False
2022-03-06;0;0;0;80;4;False
2022-03-13;0;1;0;76;4;False
2022-03-20;0;0;0;73;4;False
2022-03-27;0;3;0;79;4;False
2022-04-03;0;2;0;71;4;False
2022-04-10;0;1;0;54;3;False
2022-04-17;0;0;0;65;4;False
2022-04-24;0;0;0;81;4;False
2022-05-01;1;0;0;75;4;False
2022-05-08;0;0;0;100;4;False
2022-05-15;0;0;0;87;4;False
2022-05-22;0;0;0;79;4;False
2022-05-29;0;0;0;48;4;False
2022-06-05;0;0;0;75;4;False
2022-06-12;0;1;0;75;4;False
2022-06-19;0;0;0;70;4;False
2022-06-26;0;0;0;69;4;False
2022-07-03;0;0;0;78;4;False
2022-07-10;0;0;0;69;4;False
2022-07-17;0;0;0;57;4;False
2022-07-24;0;0;0;51;4;False
2022-07-31;0;0;0;49;4;False
2022-08-07;0;0;0;49;3;False
2022-08-14;0;0;0;55;3;False
2022-08-21;0;0;0;58;3;False
2022-08-28;0;0;0;61;3;False
2022-09-04;0;0;0;80;4;False
2022-09-11;0;0;0;81;3;False
2022-09-18;0;0;0;74;3;False
2022-09-25;1;0;0;77;3;False
2022-10-02;0;0;0;78;3;False
2022-10-09;0;0;0;81;3;False
2022-10-16;0;0;0;76;3;False
2022-10-23;0;0;0;74;2;False
2022-10-30;0;0;1;73;2;False
2022-11-06;0;0;0;85;3;False
2022-11-13;0;1;0;78;2;False
2022-11-20;0;0;0;65;3;False
2022-11-27;0;0;0;67;3;False
2022-12-04;0;0;0;66;2;False
2022-12-11;0;4;0;69;2;False
2022-12-18;0;1;0;48;2;False
2022-12-25;0;1;0;40;3;False
2023-01-01;0;1;0;67;3;False
2023-01-08;0;47;0;83;3;False
2023-01-15;0;7;0;91;3;False
2023-01-22;0;3;0;86;3;False
2023-01-29;0;1;0;83;3;False
