date;Economic recovery;Gambling;Claudia Webbe;Davis Cup;air travel;isPartial
2022-01-02;0;36;0;2;22;False
2022-01-09;1;35;1;3;25;False
2022-01-16;1;34;1;1;18;False
2022-01-23;1;39;0;1;20;False
2022-01-30;1;41;0;1;23;False
2022-02-06;0;37;1;1;23;False
2022-02-13;0;33;1;2;23;False
2022-02-20;0;37;1;1;24;False
2022-02-27;0;35;1;5;21;False
2022-03-06;0;36;1;2;22;False
2022-03-13;1;36;1;3;22;False
2022-03-20;1;36;1;1;21;False
2022-03-27;1;38;1;1;22;False
2022-04-03;1;46;1;1;21;False
2022-04-10;0;33;2;1;18;False
2022-04-17;1;33;1;1;19;False
2022-04-24;1;36;1;1;20;False
2022-05-01;0;38;1;1;21;False
2022-05-08;1;36;0;0;22;False
2022-05-15;0;37;4;2;22;False
2022-05-22;0;35;11;1;21;False
2022-05-29;0;34;1;1;22;False
2022-06-05;1;53;0;2;24;False
2022-06-12;0;39;1;2;22;False
2022-06-19;0;35;0;1;20;False
2022-06-26;0;36;1;6;21;False
2022-07-03;0;36;1;4;22;False
2022-07-10;0;39;1;1;23;False
2022-07-17;0;34;0;1;22;False
2022-07-24;1;38;0;2;22;False
2022-07-31;1;39;0;2;19;False
2022-08-07;1;35;1;2;19;False
2022-08-14;0;38;0;9;19;False
2022-08-21;0;38;0;4;16;False
2022-08-28;1;35;0;5;18;False
2022-09-04;1;36;1;9;19;False
2022-09-11;0;39;0;100;17;False
2022-09-18;1;44;4;20;16;False
2022-09-25;1;35;0;2;16;False
2022-10-02;0;35;1;1;16;False
2022-10-09;0;35;1;1;15;False
2022-10-16;0;39;0;1;14;False
2022-10-23;0;34;0;1;13;False
2022-10-30;0;32;0;1;13;False
2022-11-06;0;37;1;4;14;False
2022-11-13;1;41;1;3;12;False
2022-11-20;0;37;0;16;15;False
2022-11-27;0;38;0;10;15;False
2022-12-04;0;34;0;3;12;False
2022-12-11;0;33;0;2;13;False
2022-12-18;0;36;0;1;12;False
2022-12-25;0;37;0;1;16;False
2023-01-01;1;39;1;1;18;False
2023-01-08;0;36;0;2;17;False
2023-01-15;1;37;0;1;17;False
2023-01-22;1;39;0;1;15;False
2023-01-29;1;36;1;27;17;False
