date;Gloucestershire;Port-au-Prince;Business TV;jerusalem;air travel;isPartial
2022-01-02;81;0;3;24;18;False
2022-01-09;83;0;4;31;21;False
2022-01-16;73;0;3;27;15;False
2022-01-23;77;0;3;32;17;False
2022-01-30;77;0;4;33;19;False
2022-02-06;74;0;3;28;19;False
2022-02-13;97;0;3;27;19;False
2022-02-20;73;0;3;29;20;False
2022-02-27;78;1;3;29;17;False
2022-03-06;77;0;3;32;18;False
2022-03-13;71;0;3;31;18;False
2022-03-20;75;0;4;30;18;False
2022-03-27;72;0;3;29;19;False
2022-04-03;76;0;3;34;17;False
2022-04-10;74;0;3;37;15;False
2022-04-17;70;0;3;37;16;False
2022-04-24;69;0;3;37;17;False
2022-05-01;74;1;2;41;17;False
2022-05-08;71;0;3;36;18;False
2022-05-15;73;0;3;33;19;False
2022-05-22;73;0;3;36;18;False
2022-05-29;75;0;2;43;18;False
2022-06-05;74;0;2;36;20;False
2022-06-12;78;0;2;31;18;False
2022-06-19;73;0;2;31;16;False
2022-06-26;75;0;2;29;17;False
2022-07-03;73;0;3;30;18;False
2022-07-10;79;0;3;29;19;False
2022-07-17;80;0;3;29;18;False
2022-07-24;79;0;3;36;18;False
2022-07-31;78;0;3;77;16;False
2022-08-07;80;0;2;49;16;False
2022-08-14;72;0;3;25;15;False
2022-08-21;73;0;2;24;13;False
2022-08-28;74;0;2;24;15;False
2022-09-04;74;0;3;28;16;False
2022-09-11;75;0;3;27;14;False
2022-09-18;69;0;4;32;14;False
2022-09-25;67;0;3;23;14;False
2022-10-02;68;0;3;23;13;False
2022-10-09;68;0;3;25;13;False
2022-10-16;67;0;3;27;11;False
2022-10-23;63;0;3;27;11;False
2022-10-30;65;0;3;27;11;False
2022-11-06;66;0;4;31;12;False
2022-11-13;64;0;3;31;10;False
2022-11-20;59;0;4;30;12;False
2022-11-27;58;0;3;31;12;False
2022-12-04;58;1;3;28;10;False
2022-12-11;100;0;3;30;11;False
2022-12-18;62;1;3;30;10;False
2022-12-25;59;0;3;31;13;False
2023-01-01;72;0;3;29;15;False
2023-01-08;69;0;4;26;14;False
2023-01-15;75;0;4;29;14;False
2023-01-22;69;0;4;40;13;False
2023-01-29;74;0;3;34;14;False
