date;Don't Look Up;Labor party;Monetary policy committee;Australian politicians' expenses;air travel;isPartial
2022-01-02;100;1;0;0;24;False
2022-01-09;47;0;0;0;28;False
2022-01-16;27;0;0;0;21;False
2022-01-23;19;1;0;0;23;False
2022-01-30;12;0;1;0;26;False
2022-02-06;13;0;0;0;26;False
2022-02-13;9;0;1;0;26;False
2022-02-20;8;0;0;0;27;False
2022-02-27;5;0;0;0;23;False
2022-03-06;5;0;0;0;25;False
2022-03-13;5;0;1;0;24;False
2022-03-20;5;1;0;0;24;False
2022-03-27;5;1;1;0;25;False
2022-04-03;5;0;0;0;23;False
2022-04-10;5;1;0;0;20;False
2022-04-17;3;1;0;0;22;False
2022-04-24;3;1;1;0;23;False
2022-05-01;3;2;0;0;24;False
2022-05-08;3;1;0;0;24;False
2022-05-15;2;4;1;0;25;False
2022-05-22;3;1;0;0;24;False
2022-05-29;2;1;0;0;24;False
2022-06-05;3;0;0;0;27;False
2022-06-12;3;0;0;0;24;False
2022-06-19;3;0;0;0;22;False
2022-06-26;2;1;0;0;24;False
2022-07-03;2;1;0;0;25;False
2022-07-10;2;1;0;0;26;False
2022-07-17;5;1;1;0;25;False
2022-07-24;4;1;1;0;24;False
2022-07-31;3;0;1;0;22;False
2022-08-07;3;1;0;0;21;False
2022-08-14;3;0;0;0;21;False
2022-08-21;2;0;1;0;18;False
2022-08-28;3;1;0;0;20;False
2022-09-04;2;1;1;0;22;False
2022-09-11;1;1;1;0;19;False
2022-09-18;4;1;1;0;18;False
2022-09-25;3;1;1;0;19;False
2022-10-02;2;0;1;0;18;False
2022-10-09;1;0;0;0;17;False
2022-10-16;2;2;1;0;16;False
2022-10-23;2;1;1;0;14;False
2022-10-30;2;0;1;0;14;False
2022-11-06;3;1;0;0;16;False
2022-11-13;2;1;0;0;14;False
2022-11-20;2;1;0;0;17;False
2022-11-27;2;0;1;0;17;False
2022-12-04;1;1;1;0;14;False
2022-12-11;2;0;1;0;14;False
2022-12-18;2;0;0;0;14;False
2022-12-25;3;0;0;0;18;False
2023-01-01;3;0;0;0;21;False
2023-01-08;2;1;1;0;19;False
2023-01-15;2;1;1;0;19;False
2023-01-22;2;0;0;0;17;False
2023-01-29;2;0;0;0;19;False
