date;Fossil fuels;Shakhtar Donetsk;Gaza;Fiction in translation;air travel;isPartial
2022-01-02;8;1;7;0;29;False
2022-01-09;11;2;6;0;34;False
2022-01-16;14;1;6;0;25;False
2022-01-23;12;1;6;0;28;False
2022-01-30;15;1;5;0;31;False
2022-02-06;13;1;6;0;31;False
2022-02-13;10;2;6;0;32;False
2022-02-20;11;19;7;0;32;False
2022-02-27;12;8;10;0;28;False
2022-03-06;16;5;8;0;30;False
2022-03-13;14;3;8;0;29;False
2022-03-20;14;1;6;0;29;False
2022-03-27;12;3;8;0;30;False
2022-04-03;13;2;5;0;28;False
2022-04-10;8;4;8;0;24;False
2022-04-17;9;3;14;0;26;False
2022-04-24;13;1;7;0;28;False
2022-05-01;12;1;7;0;28;False
2022-05-08;13;1;8;0;29;False
2022-05-15;12;2;6;0;30;False
2022-05-22;12;1;5;0;29;False
2022-05-29;7;2;5;0;29;False
2022-06-05;13;1;5;0;33;False
2022-06-12;11;1;5;0;29;False
2022-06-19;11;1;5;0;27;False
2022-06-26;9;1;5;0;29;False
2022-07-03;7;1;6;0;30;False
2022-07-10;6;1;6;0;31;False
2022-07-17;8;1;7;0;30;False
2022-07-24;6;6;5;0;29;False
2022-07-31;4;2;18;0;26;False
2022-08-07;4;11;27;0;26;False
2022-08-14;2;1;7;0;25;False
2022-08-21;4;23;7;0;22;False
2022-08-28;6;6;5;0;24;False
2022-09-04;7;24;5;0;26;False
2022-09-11;7;100;4;0;23;False
2022-09-18;10;6;5;0;22;False
2022-09-25;12;3;5;0;22;False
2022-10-02;11;26;5;0;21;False
2022-10-09;12;33;5;0;21;False
2022-10-16;12;5;4;0;19;False
2022-10-23;8;64;5;0;17;False
2022-10-30;12;17;5;0;17;False
2022-11-06;18;4;4;0;19;False
2022-11-13;15;4;6;0;16;False
2022-11-20;13;3;6;0;20;False
2022-11-27;15;1;5;0;20;False
2022-12-04;13;1;7;0;17;False
2022-12-11;11;1;5;0;17;False
2022-12-18;5;2;6;0;16;False
2022-12-25;4;7;5;0;22;False
2023-01-01;6;6;6;0;25;False
2023-01-08;11;10;5;0;23;False
2023-01-15;15;14;5;0;23;False
2023-01-22;14;3;8;0;21;False
2023-01-29;12;3;8;0;22;False
