date;Skincare;Californian food and drink;dallas;diabetes;air travel;isPartial
2022-01-02;28;0;26;77;7;False
2022-01-09;27;0;22;85;9;False
2022-01-16;25;0;26;73;6;False
2022-01-23;26;0;22;79;7;False
2022-01-30;27;0;21;86;8;False
2022-02-06;24;0;18;76;8;False
2022-02-13;23;0;19;76;8;False
2022-02-20;26;0;19;79;8;False
2022-02-27;25;0;17;84;7;False
2022-03-06;24;0;17;86;7;False
2022-03-13;24;0;19;86;7;False
2022-03-20;25;0;17;80;7;False
2022-03-27;24;0;18;79;8;False
2022-04-03;26;0;18;83;7;False
2022-04-10;25;0;20;76;6;False
2022-04-17;23;0;18;73;7;False
2022-04-24;23;0;20;81;7;False
2022-05-01;25;0;26;83;7;False
2022-05-08;23;0;25;85;7;False
2022-05-15;23;0;22;86;8;False
2022-05-22;22;0;22;80;7;False
2022-05-29;23;0;20;69;7;False
2022-06-05;24;0;25;88;8;False
2022-06-12;27;0;21;86;7;False
2022-06-19;23;0;19;76;7;False
2022-06-26;24;0;18;84;7;False
2022-07-03;23;0;21;77;8;False
2022-07-10;25;0;20;76;8;False
2022-07-17;23;0;20;72;7;False
2022-07-24;25;0;21;73;7;False
2022-07-31;25;0;19;76;7;False
2022-08-07;25;0;18;76;6;False
2022-08-14;23;0;20;75;6;False
2022-08-21;24;0;20;76;6;False
2022-08-28;25;0;18;77;6;False
2022-09-04;23;0;17;74;7;False
2022-09-11;23;0;22;77;6;False
2022-09-18;26;0;21;74;6;False
2022-09-25;25;0;21;71;6;False
2022-10-02;23;0;19;81;5;False
2022-10-09;23;0;19;78;5;False
2022-10-16;25;0;20;77;5;False
2022-10-23;25;0;22;74;4;False
2022-10-30;26;0;20;78;4;False
2022-11-06;29;0;23;86;5;False
2022-11-13;30;0;45;100;4;False
2022-11-20;32;0;18;74;5;False
2022-11-27;32;0;23;72;5;False
2022-12-04;29;0;19;70;4;False
2022-12-11;28;0;19;68;4;False
2022-12-18;27;0;23;72;4;False
2022-12-25;32;0;27;63;5;False
2023-01-01;29;0;22;76;6;False
2023-01-08;27;0;23;86;6;False
2023-01-15;29;0;24;85;6;False
2023-01-22;28;0;25;84;5;False
2023-01-29;28;0;22;89;6;False
