date;Len Blavatnik;Press releases 2023;NRL;Darren Hayes;air travel;isPartial
2022-01-02;2;0;20;4;77;False
2022-01-09;2;0;24;3;89;False
2022-01-16;0;0;28;4;66;False
2022-01-23;2;0;30;5;72;False
2022-01-30;3;0;27;3;82;False
2022-02-06;1;0;39;2;82;False
2022-02-13;2;0;36;2;83;False
2022-02-20;2;0;42;3;84;False
2022-02-27;7;0;32;2;74;False
2022-03-06;5;0;73;5;78;False
2022-03-13;4;0;60;1;77;False
2022-03-20;3;0;72;3;75;False
2022-03-27;0;0;74;3;80;False
2022-04-03;1;0;74;3;74;False
2022-04-10;0;0;73;4;63;False
2022-04-17;0;0;79;3;69;False
2022-04-24;1;0;69;3;72;False
2022-05-01;0;0;69;2;75;False
2022-05-08;0;0;67;1;77;False
2022-05-15;1;0;73;6;80;False
2022-05-22;0;0;72;2;75;False
2022-05-29;2;0;61;4;77;False
2022-06-05;3;0;73;4;86;False
2022-06-12;2;0;81;2;77;False
2022-06-19;0;0;49;3;70;False
2022-06-26;1;0;63;45;75;False
2022-07-03;0;0;63;15;79;False
2022-07-10;3;0;66;8;82;False
2022-07-17;1;0;80;4;78;False
2022-07-24;0;0;98;5;77;False
2022-07-31;0;0;74;6;69;False
2022-08-07;0;0;100;5;67;False
2022-08-14;1;0;72;6;66;False
2022-08-21;2;0;75;6;58;False
2022-08-28;0;0;78;8;63;False
2022-09-04;0;0;89;5;68;False
2022-09-11;0;0;92;3;60;False
2022-09-18;0;0;94;2;58;False
2022-09-25;1;0;66;5;59;False
2022-10-02;0;0;88;7;56;False
2022-10-09;1;0;40;6;55;False
2022-10-16;1;0;39;5;49;False
2022-10-23;1;0;34;4;46;False
2022-10-30;1;0;31;4;45;False
2022-11-06;0;0;32;3;51;False
2022-11-13;1;0;29;2;43;False
2022-11-20;1;0;22;3;54;False
2022-11-27;0;0;19;3;52;False
2022-12-04;0;0;16;4;44;False
2022-12-11;1;0;17;3;46;False
2022-12-18;2;0;20;3;43;False
2022-12-25;0;0;23;3;57;False
2023-01-01;0;0;21;5;66;False
2023-01-08;1;0;25;4;61;False
2023-01-15;0;0;25;5;60;False
2023-01-22;1;0;24;6;55;False
2023-01-29;1;0;31;7;59;False
