date;fire service;Austria;Department for Education;George Santos;air travel;isPartial
2022-01-02;10;49;1;0;9;False
2022-01-09;10;48;2;0;10;False
2022-01-16;9;45;2;0;7;False
2022-01-23;9;42;1;0;8;False
2022-01-30;10;42;1;0;9;False
2022-02-06;10;40;2;0;9;False
2022-02-13;9;36;2;0;9;False
2022-02-20;8;38;2;0;10;False
2022-02-27;8;32;1;0;8;False
2022-03-06;8;33;2;0;9;False
2022-03-13;9;32;1;0;9;False
2022-03-20;8;97;1;0;8;False
2022-03-27;8;50;2;0;9;False
2022-04-03;8;28;2;0;8;False
2022-04-10;7;26;1;0;7;False
2022-04-17;7;26;1;0;8;False
2022-04-24;8;26;1;0;8;False
2022-05-01;8;26;2;0;8;False
2022-05-08;9;27;2;0;9;False
2022-05-15;9;26;1;0;9;False
2022-05-22;7;23;2;0;9;False
2022-05-29;8;30;1;0;9;False
2022-06-05;9;46;1;0;10;False
2022-06-12;9;28;1;0;8;False
2022-06-19;8;27;1;0;8;False
2022-06-26;9;28;1;0;8;False
2022-07-03;8;100;1;0;9;False
2022-07-10;10;60;1;0;9;False
2022-07-17;14;41;1;0;9;False
2022-07-24;11;28;1;0;9;False
2022-07-31;10;28;1;0;8;False
2022-08-07;13;27;1;0;8;False
2022-08-14;10;28;1;1;7;False
2022-08-21;9;25;1;0;7;False
2022-08-28;8;44;1;0;7;False
2022-09-04;8;26;3;0;8;False
2022-09-11;9;27;2;0;7;False
2022-09-18;9;30;1;0;7;False
2022-09-25;9;30;1;0;7;False
2022-10-02;9;33;1;0;6;False
2022-10-09;9;28;1;0;6;False
2022-10-16;9;25;1;0;6;False
2022-10-23;8;27;1;0;5;False
2022-10-30;10;24;1;0;5;False
2022-11-06;9;28;1;0;6;False
2022-11-13;8;27;2;0;5;False
2022-11-20;8;35;1;0;6;False
2022-11-27;8;27;1;0;6;False
2022-12-04;8;26;1;0;5;False
2022-12-11;9;28;1;0;5;False
2022-12-18;7;29;1;1;5;False
2022-12-25;6;36;0;9;6;False
2023-01-01;9;38;1;7;7;False
2023-01-08;9;34;1;7;7;False
2023-01-15;9;34;1;10;7;False
2023-01-22;10;32;1;11;6;False
2023-01-29;12;32;1;5;7;False
