date;Paul Auster;Hangover cures;Grenfell Tower fire;Women's rights and gender equality;air travel;isPartial
2022-01-02;0;2;4;0;87;False
2022-01-09;1;0;8;0;100;False
2022-01-16;1;4;5;0;74;False
2022-01-23;3;2;2;0;82;False
2022-01-30;2;1;3;0;93;False
2022-02-06;0;2;3;0;93;False
2022-02-13;0;2;4;0;94;False
2022-02-20;0;1;2;0;95;False
2022-02-27;0;2;3;0;83;False
2022-03-06;0;0;5;0;88;False
2022-03-13;0;3;3;0;87;False
2022-03-20;0;4;5;0;85;False
2022-03-27;1;1;6;0;90;False
2022-04-03;0;2;3;0;82;False
2022-04-10;2;2;2;0;71;False
2022-04-17;6;1;3;0;79;False
2022-04-24;4;3;3;0;82;False
2022-05-01;2;3;5;0;84;False
2022-05-08;0;2;5;0;87;False
2022-05-15;3;1;3;0;90;False
2022-05-22;0;4;6;0;85;False
2022-05-29;3;1;3;0;87;False
2022-06-05;2;1;7;0;97;False
2022-06-12;1;1;34;0;85;False
2022-06-19;1;1;10;0;79;False
2022-06-26;2;1;3;0;85;False
2022-07-03;2;2;1;0;89;False
2022-07-10;0;1;3;0;92;False
2022-07-17;1;3;5;0;88;False
2022-07-24;2;1;7;0;87;False
2022-07-31;2;0;3;0;78;False
2022-08-07;3;4;2;0;76;False
2022-08-14;1;1;5;0;75;False
2022-08-21;1;1;2;0;65;False
2022-08-28;0;0;1;0;72;False
2022-09-04;1;2;4;0;77;False
2022-09-11;4;2;6;0;67;False
2022-09-18;1;4;5;0;66;False
2022-09-25;3;2;5;0;66;False
2022-10-02;2;2;3;0;63;False
2022-10-09;0;2;3;0;62;False
2022-10-16;1;0;3;0;55;False
2022-10-23;1;3;3;0;52;False
2022-10-30;2;2;3;0;51;False
2022-11-06;1;0;6;0;58;False
2022-11-13;3;1;4;0;48;False
2022-11-20;1;0;2;0;60;False
2022-11-27;0;0;4;0;59;False
2022-12-04;0;4;4;0;50;False
2022-12-11;2;4;4;0;52;False
2022-12-18;2;1;4;0;48;False
2022-12-25;1;0;4;0;64;False
2023-01-01;1;2;2;0;74;False
2023-01-08;1;1;8;0;69;False
2023-01-15;4;2;5;0;67;False
2023-01-22;2;1;4;0;62;False
2023-01-29;0;0;5;0;67;False
