date;Paul McCartney;Stoke-on-Trent;Jack Ma;City of Birmingham Symphony Orchestra;air travel;isPartial
2022-01-02;6;5;0;0;4;False
2022-01-09;5;4;0;0;5;False
2022-01-16;5;4;0;0;4;False
2022-01-23;5;4;0;0;4;False
2022-01-30;5;4;0;0;4;False
2022-02-06;5;4;0;0;4;False
2022-02-13;5;5;0;0;4;False
2022-02-20;7;5;0;0;4;False
2022-02-27;5;4;0;0;4;False
2022-03-06;4;4;0;0;4;False
2022-03-13;5;5;0;0;4;False
2022-03-20;4;5;0;0;4;False
2022-03-27;5;5;0;0;4;False
2022-04-03;5;5;0;0;4;False
2022-04-10;4;5;0;0;3;False
2022-04-17;5;4;0;0;4;False
2022-04-24;4;4;0;0;4;False
2022-05-01;5;5;0;0;4;False
2022-05-08;4;5;0;0;4;False
2022-05-15;4;5;0;0;4;False
2022-05-22;4;5;0;0;4;False
2022-05-29;7;5;0;0;4;False
2022-06-05;6;5;0;0;5;False
2022-06-12;22;5;0;0;4;False
2022-06-19;98;6;0;0;4;False
2022-06-26;100;5;0;0;4;False
2022-07-03;9;5;0;0;4;False
2022-07-10;6;5;0;0;4;False
2022-07-17;5;6;0;0;4;False
2022-07-24;4;6;0;0;4;False
2022-07-31;4;5;0;0;4;False
2022-08-07;6;5;0;0;4;False
2022-08-14;3;5;0;0;4;False
2022-08-21;4;5;0;0;3;False
2022-08-28;5;5;0;0;3;False
2022-09-04;5;5;0;0;4;False
2022-09-11;4;4;0;0;3;False
2022-09-18;4;5;0;0;3;False
2022-09-25;4;5;0;0;3;False
2022-10-02;6;5;0;0;3;False
2022-10-09;5;5;0;0;3;False
2022-10-16;4;5;0;0;3;False
2022-10-23;4;5;0;0;2;False
2022-10-30;4;4;0;0;2;False
2022-11-06;4;4;0;0;3;False
2022-11-13;3;4;0;0;2;False
2022-11-20;4;4;0;0;3;False
2022-11-27;5;4;0;0;3;False
2022-12-04;6;4;0;0;2;False
2022-12-11;7;4;0;0;2;False
2022-12-18;6;4;0;0;2;False
2022-12-25;8;4;0;0;3;False
2023-01-01;5;4;0;0;4;False
2023-01-08;5;4;1;0;3;False
2023-01-15;6;5;0;0;3;False
2023-01-22;4;4;0;0;3;False
2023-01-29;4;4;0;0;3;False
