date;Ocean Vuong;Rail industry;Marcus Rashford;george ezra;air travel;isPartial
2022-01-02;0;0;13;6;18;False
2022-01-09;0;1;28;8;21;False
2022-01-16;1;1;11;6;16;False
2022-01-23;0;1;13;19;17;False
2022-01-30;1;1;26;28;19;False
2022-02-06;0;0;12;32;19;False
2022-02-13;0;1;8;19;20;False
2022-02-20;0;0;8;24;20;False
2022-02-27;0;0;7;18;17;False
2022-03-06;0;0;16;17;18;False
2022-03-13;1;1;24;22;18;False
2022-03-20;1;0;12;17;18;False
2022-03-27;1;0;14;26;19;False
2022-04-03;1;0;12;19;17;False
2022-04-10;1;1;6;20;15;False
2022-04-17;1;0;11;23;17;False
2022-04-24;1;1;8;42;17;False
2022-05-01;1;0;8;27;18;False
2022-05-08;1;1;7;31;18;False
2022-05-15;1;1;6;33;19;False
2022-05-22;0;1;21;27;18;False
2022-05-29;0;0;8;100;18;False
2022-06-05;1;0;11;89;20;False
2022-06-12;0;1;7;65;18;False
2022-06-19;0;1;6;45;16;False
2022-06-26;0;0;7;61;18;False
2022-07-03;1;1;7;36;19;False
2022-07-10;0;0;12;52;19;False
2022-07-17;0;0;6;56;18;False
2022-07-24;0;0;6;33;18;False
2022-07-31;0;1;6;28;16;False
2022-08-07;1;0;12;36;16;False
2022-08-14;0;0;6;29;16;False
2022-08-21;1;1;14;34;14;False
2022-08-28;0;0;6;36;15;False
2022-09-04;0;0;16;27;16;False
2022-09-11;0;1;11;49;14;False
2022-09-18;0;0;7;44;14;False
2022-09-25;1;0;13;46;14;False
2022-10-02;1;0;16;23;13;False
2022-10-09;0;1;12;18;13;False
2022-10-16;0;1;15;32;12;False
2022-10-23;0;1;8;19;11;False
2022-10-30;1;0;21;22;11;False
2022-11-06;0;1;13;18;12;False
2022-11-13;0;1;10;17;10;False
2022-11-20;0;0;29;13;13;False
2022-11-27;1;0;88;15;12;False
2022-12-04;0;1;46;12;11;False
2022-12-11;0;0;25;13;11;False
2022-12-18;0;1;17;36;10;False
2022-12-25;0;0;41;21;13;False
2023-01-01;1;1;32;34;16;False
2023-01-08;1;0;30;33;14;False
2023-01-15;0;0;21;52;14;False
2023-01-22;1;1;29;30;13;False
2023-01-29;0;1;20;23;14;False
