date;Thomas Frank;Adele;Jeans;Barristers;air travel;isPartial
2022-01-02;1;19;93;1;4;False
2022-01-09;0;18;86;2;5;False
2022-01-16;3;45;77;1;4;False
2022-01-23;1;27;92;1;4;False
2022-01-30;1;21;91;1;4;False
2022-02-06;1;71;87;1;4;False
2022-02-13;0;21;89;1;4;False
2022-02-20;1;14;92;1;5;False
2022-02-27;1;12;89;1;4;False
2022-03-06;1;12;90;1;4;False
2022-03-13;0;11;92;1;4;False
2022-03-20;0;10;99;1;4;False
2022-03-27;1;10;87;1;4;False
2022-04-03;0;10;89;1;4;False
2022-04-10;1;9;96;1;3;False
2022-04-17;1;12;91;2;4;False
2022-04-24;1;11;93;1;4;False
2022-05-01;1;12;98;1;4;False
2022-05-08;1;14;82;2;4;False
2022-05-15;1;14;75;1;4;False
2022-05-22;1;13;80;1;4;False
2022-05-29;0;11;78;1;4;False
2022-06-05;0;10;75;1;5;False
2022-06-12;0;11;68;1;4;False
2022-06-19;0;16;68;3;4;False
2022-06-26;0;47;75;6;4;False
2022-07-03;0;29;71;3;4;False
2022-07-10;0;14;56;2;4;False
2022-07-17;0;9;53;2;4;False
2022-07-24;0;11;69;2;4;False
2022-07-31;0;10;66;1;4;False
2022-08-07;1;10;57;1;4;False
2022-08-14;1;13;60;1;4;False
2022-08-21;1;11;70;7;3;False
2022-08-28;1;10;77;2;3;False
2022-09-04;1;10;76;4;4;False
2022-09-11;1;10;84;2;3;False
2022-09-18;1;9;82;2;3;False
2022-09-25;0;9;86;3;3;False
2022-10-02;0;9;85;2;3;False
2022-10-09;1;9;85;3;3;False
2022-10-16;1;9;84;2;3;False
2022-10-23;1;13;85;1;2;False
2022-10-30;0;12;78;1;2;False
2022-11-06;1;11;80;1;3;False
2022-11-13;1;14;87;2;2;False
2022-11-20;0;66;88;1;3;False
2022-11-27;0;12;92;2;3;False
2022-12-04;0;9;83;1;2;False
2022-12-11;0;9;84;1;2;False
2022-12-18;0;10;76;1;2;False
2022-12-25;1;14;100;1;3;False
2023-01-01;2;11;86;1;4;False
2023-01-08;1;12;82;1;3;False
2023-01-15;1;15;83;2;3;False
2023-01-22;1;13;87;1;3;False
2023-01-29;0;11;84;2;3;False
