date;Network Rail;Mikel Arteta;keir starmer;Further education;air travel;isPartial
2022-01-02;20;3;27;3;18;False
2022-01-09;24;6;100;4;20;False
2022-01-16;25;2;58;5;15;False
2022-01-23;26;2;22;6;17;False
2022-01-30;24;2;64;6;19;False
2022-02-06;24;2;81;5;19;False
2022-02-13;35;2;18;4;19;False
2022-02-20;28;3;14;4;19;False
2022-02-27;23;1;10;5;17;False
2022-03-06;22;3;9;5;18;False
2022-03-13;25;6;28;5;18;False
2022-03-20;23;3;9;4;17;False
2022-03-27;22;3;12;4;18;False
2022-04-03;22;2;12;4;17;False
2022-04-10;21;4;21;2;15;False
2022-04-17;30;5;21;4;16;False
2022-04-24;23;3;30;4;17;False
2022-05-01;24;5;72;4;17;False
2022-05-08;24;6;65;5;18;False
2022-05-15;26;5;40;5;18;False
2022-05-22;36;2;17;4;17;False
2022-05-29;24;1;29;3;18;False
2022-06-05;37;1;24;4;20;False
2022-06-12;31;1;39;4;17;False
2022-06-19;44;1;20;4;16;False
2022-06-26;27;1;29;4;17;False
2022-07-03;24;1;88;4;18;False
2022-07-10;29;2;33;3;19;False
2022-07-17;34;1;24;3;18;False
2022-07-24;34;3;35;3;18;False
2022-07-31;26;10;21;3;16;False
2022-08-07;26;11;18;3;16;False
2022-08-14;26;14;20;4;15;False
2022-08-21;25;9;12;5;13;False
2022-08-28;22;8;16;4;15;False
2022-09-04;25;6;34;5;16;False
2022-09-11;24;2;15;5;14;False
2022-09-18;25;5;21;4;13;False
2022-09-25;24;5;73;4;14;False
2022-10-02;25;5;15;5;13;False
2022-10-09;25;9;17;4;13;False
2022-10-16;26;6;52;4;11;False
2022-10-23;24;4;48;4;11;False
2022-10-30;27;6;19;4;10;False
2022-11-06;26;6;20;4;12;False
2022-11-13;24;3;15;4;10;False
2022-11-20;24;2;19;3;12;False
2022-11-27;25;2;22;4;12;False
2022-12-04;30;1;20;3;10;False
2022-12-11;32;2;10;3;11;False
2022-12-18;23;6;12;2;10;False
2022-12-25;16;7;6;5;13;False
2023-01-01;24;8;16;6;15;False
2023-01-08;25;5;12;6;14;False
2023-01-15;27;9;29;8;14;False
2023-01-22;28;16;14;5;13;False
2023-01-29;26;7;15;5;14;False
