date;School attendance and absence;University funding;Cannes 2022;Accrington Stanley;air travel;isPartial
2022-01-02;0;3;1;7;20;False
2022-01-09;0;4;2;12;23;False
2022-01-16;0;3;1;8;17;False
2022-01-23;0;3;1;9;19;False
2022-01-30;0;3;1;9;21;False
2022-02-06;0;3;1;11;21;False
2022-02-13;0;3;1;9;21;False
2022-02-20;0;3;2;9;22;False
2022-02-27;0;4;2;7;19;False
2022-03-06;0;3;2;7;20;False
2022-03-13;0;3;3;12;20;False
2022-03-20;0;3;2;9;19;False
2022-03-27;0;3;2;6;21;False
2022-04-03;0;3;3;7;19;False
2022-04-10;0;2;5;6;16;False
2022-04-17;0;3;3;11;18;False
2022-04-24;0;3;3;7;19;False
2022-05-01;0;3;4;4;19;False
2022-05-08;0;3;5;3;20;False
2022-05-15;0;3;18;4;21;False
2022-05-22;0;3;17;3;19;False
2022-05-29;0;2;8;4;20;False
2022-06-05;0;3;5;3;22;False
2022-06-12;0;2;4;3;19;False
2022-06-19;0;2;5;4;18;False
2022-06-26;0;3;3;10;19;False
2022-07-03;0;3;2;9;20;False
2022-07-10;0;2;2;7;21;False
2022-07-17;0;4;2;9;20;False
2022-07-24;0;3;2;10;20;False
2022-07-31;0;4;2;7;18;False
2022-08-07;0;3;2;13;17;False
2022-08-14;0;4;2;7;17;False
2022-08-21;0;3;2;8;15;False
2022-08-28;0;2;1;13;16;False
2022-09-04;0;4;2;7;18;False
2022-09-11;0;4;2;8;15;False
2022-09-18;0;4;1;10;15;False
2022-09-25;0;3;1;7;15;False
2022-10-02;0;4;1;8;14;False
2022-10-09;0;3;1;12;14;False
2022-10-16;0;3;1;12;13;False
2022-10-23;0;3;2;9;12;False
2022-10-30;0;3;1;9;12;False
2022-11-06;0;3;2;13;13;False
2022-11-13;0;3;1;7;11;False
2022-11-20;0;2;1;8;14;False
2022-11-27;0;3;1;7;13;False
2022-12-04;0;1;1;4;11;False
2022-12-11;0;2;1;6;12;False
2022-12-18;0;2;0;5;11;False
2022-12-25;0;1;0;10;14;False
2023-01-01;0;2;1;19;17;False
2023-01-08;0;3;0;17;16;False
2023-01-15;0;3;1;19;15;False
2023-01-22;0;4;1;100;14;False
2023-01-29;0;4;1;14;15;False
