date;Asteroids;Devo;Dogs;Computer science and IT;air travel;isPartial
2022-01-02;0;0;92;0;1;False
2022-01-09;0;0;93;0;2;False
2022-01-16;1;0;82;0;1;False
2022-01-23;0;0;85;0;1;False
2022-01-30;1;0;89;0;1;False
2022-02-06;0;0;86;0;1;False
2022-02-13;0;0;81;0;1;False
2022-02-20;0;0;82;0;1;False
2022-02-27;0;0;82;0;1;False
2022-03-06;0;0;82;0;1;False
2022-03-13;0;0;79;0;1;False
2022-03-20;0;0;80;0;1;False
2022-03-27;0;0;75;0;1;False
2022-04-03;0;0;79;0;1;False
2022-04-10;0;0;92;0;1;False
2022-04-17;0;0;81;0;1;False
2022-04-24;0;0;76;0;1;False
2022-05-01;0;0;87;0;1;False
2022-05-08;0;0;76;0;1;False
2022-05-15;0;0;81;0;1;False
2022-05-22;0;0;78;0;1;False
2022-05-29;0;0;80;0;1;False
2022-06-05;0;0;80;0;1;False
2022-06-12;0;0;82;0;1;False
2022-06-19;0;0;79;0;1;False
2022-06-26;0;0;82;0;1;False
2022-07-03;0;0;83;0;1;False
2022-07-10;0;0;96;0;1;False
2022-07-17;0;0;95;0;1;False
2022-07-24;0;0;91;0;1;False
2022-07-31;0;0;91;0;1;False
2022-08-07;0;0;100;0;1;False
2022-08-14;0;0;89;0;1;False
2022-08-21;0;0;93;0;1;False
2022-08-28;0;0;91;0;1;False
2022-09-04;0;0;80;0;1;False
2022-09-11;0;0;85;0;1;False
2022-09-18;0;0;86;0;1;False
2022-09-25;0;0;78;0;1;False
2022-10-02;0;0;81;0;1;False
2022-10-09;0;0;83;0;1;False
2022-10-16;0;0;76;0;1;False
2022-10-23;0;0;83;0;1;False
2022-10-30;0;0;83;0;1;False
2022-11-06;0;0;76;0;1;False
2022-11-13;0;0;76;0;1;False
2022-11-20;0;0;65;0;1;False
2022-11-27;0;0;71;0;1;False
2022-12-04;0;0;67;0;1;False
2022-12-11;0;0;71;0;1;False
2022-12-18;0;0;84;0;1;False
2022-12-25;0;0;87;0;1;False
2023-01-01;0;0;83;0;1;False
2023-01-08;0;0;81;0;1;False
2023-01-15;0;0;89;0;1;False
2023-01-22;0;0;82;0;1;False
2023-01-29;0;0;86;0;1;False
