date;Diets and dieting;Crocodiles;lgbt;Wieambilla shooting;air travel;isPartial
2022-01-02;0;16;59;0;35;False
2022-01-09;0;16;67;0;40;False
2022-01-16;0;16;64;0;29;False
2022-01-23;0;13;69;0;32;False
2022-01-30;0;11;95;0;37;False
2022-02-06;0;13;82;0;37;False
2022-02-13;0;19;76;0;37;False
2022-02-20;0;17;78;1;38;False
2022-02-27;0;12;74;0;33;False
2022-03-06;0;13;57;0;35;False
2022-03-13;0;13;58;0;34;False
2022-03-20;0;16;61;0;34;False
2022-03-27;0;15;74;0;36;False
2022-04-03;0;15;64;0;33;False
2022-04-10;0;16;58;0;28;False
2022-04-17;0;17;60;0;32;False
2022-04-24;0;13;68;0;32;False
2022-05-01;0;16;70;0;33;False
2022-05-08;0;16;70;0;34;False
2022-05-15;0;16;87;0;36;False
2022-05-22;0;16;62;0;34;False
2022-05-29;0;16;87;0;35;False
2022-06-05;0;14;100;1;38;False
2022-06-12;0;12;92;0;34;False
2022-06-19;0;17;89;0;31;False
2022-06-26;0;15;94;0;34;False
2022-07-03;0;14;73;0;35;False
2022-07-10;0;14;67;0;37;False
2022-07-17;0;15;60;0;35;False
2022-07-24;0;16;65;0;35;False
2022-07-31;0;15;62;0;31;False
2022-08-07;0;15;61;0;30;False
2022-08-14;0;13;51;0;30;False
2022-08-21;0;15;55;0;26;False
2022-08-28;0;15;49;0;28;False
2022-09-04;0;15;58;0;31;False
2022-09-11;0;16;49;0;27;False
2022-09-18;0;15;55;0;26;False
2022-09-25;0;64;55;0;26;False
2022-10-02;0;24;53;0;25;False
2022-10-09;0;18;51;0;25;False
2022-10-16;0;21;56;0;22;False
2022-10-23;0;18;62;0;20;False
2022-10-30;0;16;54;0;20;False
2022-11-06;0;19;56;0;23;False
2022-11-13;0;14;71;0;19;False
2022-11-20;0;16;87;0;24;False
2022-11-27;0;12;61;0;23;False
2022-12-04;0;13;55;0;20;False
2022-12-11;0;13;47;1;20;False
2022-12-18;0;15;48;0;19;False
2022-12-25;0;17;45;0;25;False
2023-01-01;0;16;72;0;30;False
2023-01-08;0;15;61;0;27;False
2023-01-15;0;16;70;0;27;False
2023-01-22;0;13;73;0;24;False
2023-01-29;0;15;93;0;26;False
