date;BP;Bosnia and Herzegovina;andrea riseborough;Flu;air travel;isPartial
2022-01-02;18;0;0;44;3;False
2022-01-09;22;0;0;25;4;False
2022-01-16;22;0;0;20;3;False
2022-01-23;22;0;0;17;3;False
2022-01-30;25;0;0;15;4;False
2022-02-06;34;0;0;15;4;False
2022-02-13;26;0;0;12;4;False
2022-02-20;34;0;0;15;4;False
2022-02-27;33;0;0;13;3;False
2022-03-06;30;0;0;16;3;False
2022-03-13;26;0;0;21;3;False
2022-03-20;26;1;0;20;3;False
2022-03-27;22;0;0;17;3;False
2022-04-03;26;0;0;15;3;False
2022-04-10;24;0;0;14;3;False
2022-04-17;19;0;0;11;3;False
2022-04-24;20;0;0;11;3;False
2022-05-01;30;1;0;12;3;False
2022-05-08;24;0;0;10;3;False
2022-05-15;22;0;0;11;3;False
2022-05-22;25;0;0;10;3;False
2022-05-29;18;0;0;10;3;False
2022-06-05;23;1;0;12;4;False
2022-06-12;23;0;0;11;3;False
2022-06-19;21;0;0;11;3;False
2022-06-26;21;0;0;12;3;False
2022-07-03;21;0;0;18;3;False
2022-07-10;20;0;0;13;4;False
2022-07-17;19;0;0;11;3;False
2022-07-24;21;0;0;11;3;False
2022-07-31;37;0;0;11;3;False
2022-08-07;25;0;0;11;3;False
2022-08-14;23;0;0;13;3;False
2022-08-21;22;0;0;17;2;False
2022-08-28;19;0;0;20;3;False
2022-09-04;24;1;0;26;3;False
2022-09-11;21;0;0;41;3;False
2022-09-18;24;0;0;54;3;False
2022-09-25;19;1;0;100;3;False
2022-10-02;20;1;0;85;2;False
2022-10-09;20;0;0;88;2;False
2022-10-16;19;0;0;79;2;False
2022-10-23;23;0;0;63;2;False
2022-10-30;28;0;0;61;2;False
2022-11-06;23;0;0;61;2;False
2022-11-13;22;0;0;47;2;False
2022-11-20;20;0;1;44;2;False
2022-11-27;22;0;0;60;2;False
2022-12-04;18;0;0;64;2;False
2022-12-11;18;0;0;82;2;False
2022-12-18;19;0;0;100;2;False
2022-12-25;17;0;0;75;2;False
2023-01-01;18;0;0;61;3;False
2023-01-08;19;0;0;33;3;False
2023-01-15;20;0;1;22;3;False
2023-01-22;21;0;4;20;2;False
2023-01-29;24;0;4;24;3;False
