date;Pop and rock;Supply chain crisis;berlin;Hertfordshire;air travel;isPartial
2022-01-02;1;0;40;39;9;False
2022-01-09;0;0;46;42;11;False
2022-01-16;0;0;43;41;8;False
2022-01-23;1;0;45;41;9;False
2022-01-30;1;0;49;43;10;False
2022-02-06;0;0;52;40;10;False
2022-02-13;0;0;60;39;10;False
2022-02-20;1;0;62;39;10;False
2022-02-27;0;0;64;39;9;False
2022-03-06;0;0;61;37;9;False
2022-03-13;1;0;68;38;9;False
2022-03-20;1;0;57;38;9;False
2022-03-27;0;0;76;37;9;False
2022-04-03;0;0;70;35;9;False
2022-04-10;0;0;62;35;7;False
2022-04-17;0;0;69;35;8;False
2022-04-24;1;0;71;37;9;False
2022-05-01;1;0;67;38;9;False
2022-05-08;1;0;72;36;9;False
2022-05-15;1;0;69;35;9;False
2022-05-22;1;0;70;36;9;False
2022-05-29;1;0;63;35;9;False
2022-06-05;1;0;90;36;10;False
2022-06-12;1;0;71;35;9;False
2022-06-19;1;0;68;36;8;False
2022-06-26;1;0;70;36;9;False
2022-07-03;0;0;61;35;9;False
2022-07-10;0;0;63;39;10;False
2022-07-17;0;0;72;36;9;False
2022-07-24;1;0;60;37;9;False
2022-07-31;0;0;59;36;8;False
2022-08-07;1;0;58;39;8;False
2022-08-14;0;0;59;38;8;False
2022-08-21;1;0;60;38;7;False
2022-08-28;1;0;70;38;8;False
2022-09-04;0;0;68;39;8;False
2022-09-11;1;0;72;39;7;False
2022-09-18;1;0;74;38;7;False
2022-09-25;1;0;90;39;7;False
2022-10-02;1;0;80;39;7;False
2022-10-09;1;0;86;39;7;False
2022-10-16;1;0;70;36;6;False
2022-10-23;0;0;74;36;5;False
2022-10-30;1;0;73;35;5;False
2022-11-06;1;0;76;37;6;False
2022-11-13;0;0;67;35;5;False
2022-11-20;1;0;61;30;6;False
2022-11-27;0;0;64;32;6;False
2022-12-04;1;0;58;32;5;False
2022-12-11;0;0;100;37;5;False
2022-12-18;0;0;64;30;5;False
2022-12-25;0;0;60;29;7;False
2023-01-01;1;0;68;37;8;False
2023-01-08;1;0;66;34;7;False
2023-01-15;1;0;69;37;7;False
2023-01-22;1;0;78;38;6;False
2023-01-29;1;0;71;38;7;False
