date;Laura Ashley;Royal Opera House;Sport and leisure books;Audio drama;air travel;isPartial
2022-01-02;100;34;0;1;44;False
2022-01-09;95;42;0;0;51;False
2022-01-16;83;35;0;1;38;False
2022-01-23;85;37;0;1;41;False
2022-01-30;77;41;0;2;47;False
2022-02-06;72;39;0;1;47;False
2022-02-13;81;35;0;1;48;False
2022-02-20;72;36;0;3;48;False
2022-02-27;62;35;0;1;42;False
2022-03-06;69;33;0;1;44;False
2022-03-13;66;34;0;1;44;False
2022-03-20;65;31;0;3;43;False
2022-03-27;62;30;0;0;46;False
2022-04-03;65;29;0;1;42;False
2022-04-10;67;25;0;3;36;False
2022-04-17;59;27;0;1;40;False
2022-04-24;56;27;0;0;41;False
2022-05-01;65;32;0;1;43;False
2022-05-08;55;32;0;1;44;False
2022-05-15;60;28;0;1;46;False
2022-05-22;51;25;0;2;43;False
2022-05-29;53;25;0;1;44;False
2022-06-05;51;29;0;1;49;False
2022-06-12;51;32;0;2;43;False
2022-06-19;49;26;0;1;40;False
2022-06-26;58;28;0;1;43;False
2022-07-03;57;33;0;2;45;False
2022-07-10;54;25;0;3;47;False
2022-07-17;50;24;0;1;45;False
2022-07-24;64;32;0;2;44;False
2022-07-31;61;30;0;2;40;False
2022-08-07;62;24;0;1;39;False
2022-08-14;59;16;0;2;38;False
2022-08-21;62;23;0;1;33;False
2022-08-28;66;24;0;1;36;False
2022-09-04;60;27;0;1;39;False
2022-09-11;64;36;0;1;34;False
2022-09-18;63;37;0;1;33;False
2022-09-25;65;47;0;1;34;False
2022-10-02;66;43;0;0;32;False
2022-10-09;73;40;0;0;31;False
2022-10-16;64;43;0;2;28;False
2022-10-23;70;44;0;2;26;False
2022-10-30;66;44;0;0;26;False
2022-11-06;71;60;0;1;29;False
2022-11-13;69;50;0;2;24;False
2022-11-20;68;38;0;1;31;False
2022-11-27;68;40;0;1;30;False
2022-12-04;60;42;0;2;25;False
2022-12-11;54;45;0;1;26;False
2022-12-18;51;47;0;2;24;False
2022-12-25;78;41;0;2;32;False
2023-01-01;81;36;0;2;38;False
2023-01-08;69;38;0;1;35;False
2023-01-15;68;39;0;2;34;False
2023-01-22;68;45;0;1;31;False
2023-01-29;73;36;0;2;34;False
