date;jk rowling;Private equity;iraq;Biden administration;air travel;isPartial
2022-01-02;100;20;44;0;28;False
2022-01-09;32;29;45;0;32;False
2022-01-16;32;25;38;1;24;False
2022-01-23;22;28;47;0;26;False
2022-01-30;14;27;40;0;29;False
2022-02-06;15;28;40;3;29;False
2022-02-13;11;26;38;0;30;False
2022-02-20;15;27;70;1;30;False
2022-02-27;26;26;94;0;26;False
2022-03-06;39;26;75;0;28;False
2022-03-13;73;27;98;1;28;False
2022-03-20;63;25;60;0;27;False
2022-03-27;28;26;51;0;29;False
2022-04-03;26;23;47;0;26;False
2022-04-10;41;21;42;0;23;False
2022-04-17;26;20;61;0;25;False
2022-04-24;27;23;49;0;26;False
2022-05-01;20;22;43;0;27;False
2022-05-08;16;27;42;1;27;False
2022-05-15;37;26;67;0;29;False
2022-05-22;45;27;43;0;27;False
2022-05-29;25;19;40;0;28;False
2022-06-05;16;26;66;1;31;False
2022-06-12;13;26;46;0;27;False
2022-06-19;18;26;42;0;25;False
2022-06-26;32;26;40;0;27;False
2022-07-03;19;25;37;0;28;False
2022-07-10;18;28;42;0;29;False
2022-07-17;25;24;45;1;28;False
2022-07-24;20;26;41;0;28;False
2022-07-31;15;26;41;0;25;False
2022-08-07;19;24;40;1;24;False
2022-08-14;31;26;31;0;24;False
2022-08-21;19;25;36;0;21;False
2022-08-28;47;23;53;0;23;False
2022-09-04;21;39;41;0;25;False
2022-09-11;16;29;45;0;21;False
2022-09-18;20;26;69;0;21;False
2022-09-25;19;26;63;0;21;False
2022-10-02;43;29;46;0;20;False
2022-10-09;50;31;49;1;20;False
2022-10-16;28;26;40;0;18;False
2022-10-23;35;28;39;0;16;False
2022-10-30;22;29;43;0;16;False
2022-11-06;17;25;48;0;18;False
2022-11-13;17;29;46;0;15;False
2022-11-20;13;24;61;0;19;False
2022-11-27;21;23;39;0;19;False
2022-12-04;15;25;39;0;16;False
2022-12-11;49;25;38;0;16;False
2022-12-18;48;18;36;0;15;False
2022-12-25;34;10;34;0;20;False
2023-01-01;24;22;41;0;24;False
2023-01-08;25;27;55;0;22;False
2023-01-15;33;30;75;0;21;False
2023-01-22;66;31;43;1;20;False
2023-01-29;47;30;42;1;21;False
