date;Ministry of Defence;Breonna Taylor;Duran Duran;Christianity;air travel;isPartial
2022-01-02;3;0;12;17;15;False
2022-01-09;4;1;10;20;17;False
2022-01-16;3;1;12;19;13;False
2022-01-23;4;0;14;17;14;False
2022-01-30;3;0;14;19;16;False
2022-02-06;4;1;14;19;16;False
2022-02-13;4;1;12;16;16;False
2022-02-20;10;1;12;19;17;False
2022-02-27;6;1;12;19;15;False
2022-03-06;5;0;13;22;15;False
2022-03-13;5;0;15;19;15;False
2022-03-20;4;0;16;21;15;False
2022-03-27;4;0;15;21;16;False
2022-04-03;4;0;13;16;14;False
2022-04-10;3;1;11;18;13;False
2022-04-17;3;1;13;24;14;False
2022-04-24;4;1;14;22;14;False
2022-05-01;4;0;17;22;15;False
2022-05-08;4;1;15;30;15;False
2022-05-15;4;0;15;31;16;False
2022-05-22;4;0;16;22;15;False
2022-05-29;3;1;100;14;15;False
2022-06-05;3;1;47;19;17;False
2022-06-12;3;1;25;18;15;False
2022-06-19;3;0;20;19;14;False
2022-06-26;4;1;27;16;15;False
2022-07-03;3;0;33;15;16;False
2022-07-10;4;0;35;15;16;False
2022-07-17;3;0;15;12;15;False
2022-07-24;4;0;66;11;15;False
2022-07-31;3;4;25;12;14;False
2022-08-07;3;1;19;12;13;False
2022-08-14;3;0;11;13;13;False
2022-08-21;4;1;10;14;11;False
2022-08-28;3;1;11;13;13;False
2022-09-04;3;0;9;19;14;False
2022-09-11;4;0;9;20;12;False
2022-09-18;5;1;9;19;11;False
2022-09-25;3;0;11;21;12;False
2022-10-02;3;1;11;21;11;False
2022-10-09;3;1;10;20;11;False
2022-10-16;4;0;11;17;10;False
2022-10-23;4;0;14;16;9;False
2022-10-30;4;0;11;21;9;False
2022-11-06;4;0;49;22;10;False
2022-11-13;4;0;11;21;8;False
2022-11-20;3;0;22;19;11;False
2022-11-27;3;0;15;23;10;False
2022-12-04;3;1;11;22;9;False
2022-12-11;3;1;12;18;9;False
2022-12-18;3;1;13;16;8;False
2022-12-25;2;0;21;17;11;False
2023-01-01;3;0;12;21;13;False
2023-01-08;4;0;12;20;12;False
2023-01-15;3;0;26;22;12;False
2023-01-22;4;0;17;20;11;False
2023-01-29;4;1;20;22;12;False
