date;The Guardian;Thomas Mann;david baddiel;Associated British Foods;air travel;isPartial
2022-01-02;83;0;2;1;6;False
2022-01-09;77;0;1;0;7;False
2022-01-16;74;0;2;0;5;False
2022-01-23;76;0;1;0;6;False
2022-01-30;82;0;3;0;7;False
2022-02-06;72;0;3;0;7;False
2022-02-13;70;0;2;0;7;False
2022-02-20;91;0;1;0;7;False
2022-02-27;100;0;1;0;6;False
2022-03-06;81;0;1;0;6;False
2022-03-13;82;0;1;0;6;False
2022-03-20;74;0;1;0;6;False
2022-03-27;66;0;1;0;6;False
2022-04-03;65;0;1;0;6;False
2022-04-10;69;0;1;0;5;False
2022-04-17;68;0;1;0;6;False
2022-04-24;64;0;1;0;6;False
2022-05-01;71;0;1;0;6;False
2022-05-08;77;0;2;0;6;False
2022-05-15;68;0;1;0;6;False
2022-05-22;70;0;1;0;6;False
2022-05-29;66;0;1;0;6;False
2022-06-05;76;0;1;0;7;False
2022-06-12;65;0;1;0;6;False
2022-06-19;66;1;1;0;6;False
2022-06-26;68;0;1;0;6;False
2022-07-03;93;0;1;0;6;False
2022-07-10;77;0;1;0;7;False
2022-07-17;76;0;1;0;6;False
2022-07-24;67;0;1;0;6;False
2022-07-31;68;0;2;0;6;False
2022-08-07;66;0;1;0;5;False
2022-08-14;63;0;1;0;5;False
2022-08-21;67;0;1;0;5;False
2022-08-28;65;1;1;0;5;False
2022-09-04;90;0;1;0;5;False
2022-09-11;81;0;1;0;5;False
2022-09-18;72;0;1;0;5;False
2022-09-25;79;0;1;0;5;False
2022-10-02;77;0;1;0;4;False
2022-10-09;77;0;1;0;4;False
2022-10-16;100;0;1;0;4;False
2022-10-23;86;0;1;0;4;False
2022-10-30;77;0;1;0;4;False
2022-11-06;79;0;1;0;4;False
2022-11-13;74;0;4;0;3;False
2022-11-20;60;0;13;0;4;False
2022-11-27;68;0;3;0;4;False
2022-12-04;74;0;1;0;4;False
2022-12-11;77;0;1;0;4;False
2022-12-18;72;1;2;0;3;False
2022-12-25;68;0;1;0;4;False
2023-01-01;70;0;1;0;5;False
2023-01-08;68;0;1;0;5;False
2023-01-15;70;0;1;0;5;False
2023-01-22;70;0;1;0;4;False
2023-01-29;71;0;1;0;5;False
