date;Green building;Wilko;Lewis Hamilton;TS Eliot prize for poetry;air travel;isPartial
2022-01-02;1;67;17;0;4;False
2022-01-09;1;84;16;0;5;False
2022-01-16;1;60;12;0;4;False
2022-01-23;1;62;12;0;4;False
2022-01-30;1;65;14;0;5;False
2022-02-06;1;67;12;0;5;False
2022-02-13;1;65;11;0;5;False
2022-02-20;1;65;8;0;5;False
2022-02-27;1;63;7;0;4;False
2022-03-06;1;65;10;0;4;False
2022-03-13;1;71;31;0;4;False
2022-03-20;1;75;24;0;4;False
2022-03-27;1;67;17;0;4;False
2022-04-03;1;69;11;0;4;False
2022-04-10;1;80;11;0;4;False
2022-04-17;1;77;15;0;4;False
2022-04-24;1;68;14;0;4;False
2022-05-01;1;76;12;0;4;False
2022-05-08;1;67;13;0;4;False
2022-05-15;1;69;9;0;4;False
2022-05-22;1;66;13;0;4;False
2022-05-29;1;78;12;0;4;False
2022-06-05;1;63;10;0;5;False
2022-06-12;1;63;13;0;4;False
2022-06-19;1;65;12;0;4;False
2022-06-26;1;66;35;0;4;False
2022-07-03;1;70;24;0;4;False
2022-07-10;1;78;14;0;5;False
2022-07-17;1;75;11;0;4;False
2022-07-24;1;66;15;0;4;False
2022-07-31;1;69;14;0;4;False
2022-08-07;1;73;10;0;4;False
2022-08-14;1;64;7;0;4;False
2022-08-21;1;75;8;0;3;False
2022-08-28;1;79;15;0;4;False
2022-09-04;1;67;15;0;4;False
2022-09-11;1;76;11;0;3;False
2022-09-18;1;75;6;0;3;False
2022-09-25;1;83;9;0;3;False
2022-10-02;1;74;13;0;3;False
2022-10-09;1;68;11;0;3;False
2022-10-16;1;62;7;0;3;False
2022-10-23;1;73;12;0;3;False
2022-10-30;1;70;11;0;3;False
2022-11-06;1;75;11;0;3;False
2022-11-13;1;78;13;0;2;False
2022-11-20;1;100;13;0;3;False
2022-11-27;1;82;8;0;3;False
2022-12-04;1;76;6;0;2;False
2022-12-11;1;74;5;0;3;False
2022-12-18;1;77;6;0;2;False
2022-12-25;1;72;8;0;3;False
2023-01-01;1;70;8;0;4;False
2023-01-08;1;63;7;0;3;False
2023-01-15;1;63;7;0;3;False
2023-01-22;1;63;7;0;3;False
2023-01-29;1;67;6;0;3;False
