date;Care workers;Cetaceans;Rugby Football Union;Islam;air travel;isPartial
2022-01-02;4;0;1;54;8;False
2022-01-09;4;0;1;59;9;False
2022-01-16;5;0;1;57;7;False
2022-01-23;4;0;1;58;8;False
2022-01-30;6;0;2;61;9;False
2022-02-06;4;0;2;56;9;False
2022-02-13;4;0;2;56;9;False
2022-02-20;4;0;2;65;9;False
2022-02-27;4;0;1;71;8;False
2022-03-06;4;0;3;59;8;False
2022-03-13;4;0;2;67;8;False
2022-03-20;4;0;1;62;8;False
2022-03-27;4;0;1;75;8;False
2022-04-03;4;0;1;91;8;False
2022-04-10;3;0;1;85;7;False
2022-04-17;2;0;1;93;7;False
2022-04-24;3;0;1;82;8;False
2022-05-01;3;0;1;75;8;False
2022-05-08;3;0;1;71;8;False
2022-05-15;3;0;1;71;8;False
2022-05-22;3;0;1;59;8;False
2022-05-29;3;0;1;52;8;False
2022-06-05;3;0;1;60;9;False
2022-06-12;3;0;1;57;8;False
2022-06-19;3;0;0;56;7;False
2022-06-26;3;0;0;60;8;False
2022-07-03;2;0;0;56;8;False
2022-07-10;3;0;1;50;9;False
2022-07-17;2;0;0;50;8;False
2022-07-24;2;0;0;50;8;False
2022-07-31;2;0;1;49;7;False
2022-08-07;2;0;1;53;7;False
2022-08-14;2;0;0;56;7;False
2022-08-21;3;0;0;56;6;False
2022-08-28;2;0;1;54;7;False
2022-09-04;3;0;1;57;7;False
2022-09-11;3;0;1;59;6;False
2022-09-18;3;0;1;60;6;False
2022-09-25;3;0;1;61;6;False
2022-10-02;3;0;1;66;6;False
2022-10-09;3;0;2;55;6;False
2022-10-16;3;0;2;100;5;False
2022-10-23;3;0;2;79;5;False
2022-10-30;3;0;3;62;5;False
2022-11-06;2;0;4;68;5;False
2022-11-13;3;0;2;68;5;False
2022-11-20;2;0;2;62;6;False
2022-11-27;3;0;2;60;6;False
2022-12-04;2;0;1;53;5;False
2022-12-11;3;0;1;60;5;False
2022-12-18;3;0;1;67;5;False
2022-12-25;2;0;2;69;6;False
2023-01-01;2;0;1;70;7;False
2023-01-08;3;0;2;67;6;False
2023-01-15;3;0;1;68;6;False
2023-01-22;3;0;1;73;6;False
2023-01-29;3;0;2;72;6;False
