date;Food poverty;Access to university;Clubbing;Philippines;air travel;isPartial
2022-01-02;0;1;8;0;15;False
2022-01-09;1;2;8;57;16;False
2022-01-16;2;2;7;0;13;False
2022-01-23;1;2;10;0;14;False
2022-01-30;1;1;10;59;16;False
2022-02-06;1;2;9;0;16;False
2022-02-13;1;1;9;54;16;False
2022-02-20;1;1;9;0;16;False
2022-02-27;1;2;10;0;14;False
2022-03-06;1;1;8;0;15;False
2022-03-13;1;2;9;56;15;False
2022-03-20;1;1;9;58;15;False
2022-03-27;1;1;7;56;15;False
2022-04-03;1;2;7;0;14;False
2022-04-10;1;1;9;0;12;False
2022-04-17;1;1;8;0;14;False
2022-04-24;2;2;8;56;14;False
2022-05-01;1;2;8;64;14;False
2022-05-08;2;2;10;100;15;False
2022-05-15;1;1;10;0;15;False
2022-05-22;1;2;8;56;15;False
2022-05-29;1;1;8;0;15;False
2022-06-05;1;1;8;0;17;False
2022-06-12;1;2;7;58;14;False
2022-06-19;1;1;8;0;13;False
2022-06-26;1;2;10;0;14;False
2022-07-03;1;2;7;55;15;False
2022-07-10;1;1;7;58;16;False
2022-07-17;1;1;8;56;15;False
2022-07-24;0;1;7;67;15;False
2022-07-31;0;1;6;56;13;False
2022-08-07;0;1;7;56;13;False
2022-08-14;0;2;9;0;13;False
2022-08-21;1;2;7;0;11;False
2022-08-28;1;2;7;59;12;False
2022-09-04;1;2;7;57;13;False
2022-09-11;1;3;9;0;11;False
2022-09-18;1;2;7;57;11;False
2022-09-25;1;2;8;63;11;False
2022-10-02;0;2;8;0;11;False
2022-10-09;1;2;8;0;10;False
2022-10-16;1;1;9;56;9;False
2022-10-23;1;2;8;60;9;False
2022-10-30;1;2;7;0;9;False
2022-11-06;1;2;7;0;10;False
2022-11-13;1;2;7;0;8;False
2022-11-20;1;2;7;0;10;False
2022-11-27;1;1;7;57;10;False
2022-12-04;1;1;6;0;9;False
2022-12-11;1;1;6;0;9;False
2022-12-18;1;1;7;56;8;False
2022-12-25;0;1;7;62;11;False
2023-01-01;1;2;7;0;13;False
2023-01-08;1;2;8;0;12;False
2023-01-15;1;2;8;0;12;False
2023-01-22;1;2;9;60;11;False
2023-01-29;1;1;9;65;11;False
