date;FBI;Hamlet;Portugal;Oxford United;air travel;isPartial
2022-01-02;1;2;14;1;1;False
2022-01-09;1;2;15;1;1;False
2022-01-16;1;2;15;1;1;False
2022-01-23;1;2;19;1;1;False
2022-01-30;1;2;21;2;1;False
2022-02-06;1;2;20;1;1;False
2022-02-13;1;1;18;1;1;False
2022-02-20;1;2;19;2;1;False
2022-02-27;1;1;17;1;1;False
2022-03-06;1;1;18;1;1;False
2022-03-13;1;2;22;1;1;False
2022-03-20;1;1;33;1;1;False
2022-03-27;1;1;31;1;1;False
2022-04-03;1;1;21;1;1;False
2022-04-10;1;1;20;1;1;False
2022-04-17;1;2;22;1;1;False
2022-04-24;1;1;21;1;1;False
2022-05-01;1;2;23;1;1;False
2022-05-08;1;1;22;0;1;False
2022-05-15;1;1;20;0;1;False
2022-05-22;1;1;20;0;1;False
2022-05-29;1;1;25;0;1;False
2022-06-05;1;2;29;0;1;False
2022-06-12;1;1;22;0;1;False
2022-06-19;1;1;20;0;1;False
2022-06-26;1;1;19;1;1;False
2022-07-03;1;1;22;1;1;False
2022-07-10;1;1;24;1;1;False
2022-07-17;3;1;20;1;1;False
2022-07-24;2;1;17;1;1;False
2022-07-31;2;1;18;1;1;False
2022-08-07;3;1;18;1;1;False
2022-08-14;2;1;16;1;1;False
2022-08-21;2;1;17;1;1;False
2022-08-28;2;1;16;1;1;False
2022-09-04;2;1;16;1;1;False
2022-09-11;1;2;15;1;1;False
2022-09-18;2;1;18;0;1;False
2022-09-25;2;2;22;1;1;False
2022-10-02;2;2;14;1;1;False
2022-10-09;2;2;14;1;1;False
2022-10-16;2;2;13;1;1;False
2022-10-23;2;2;13;1;1;False
2022-10-30;2;1;12;1;1;False
2022-11-06;2;2;14;1;1;False
2022-11-13;2;1;20;1;1;False
2022-11-20;1;1;51;1;1;False
2022-11-27;2;1;62;1;1;False
2022-12-04;2;1;100;0;1;False
2022-12-11;2;1;16;1;1;False
2022-12-18;2;1;13;1;1;False
2022-12-25;2;1;13;1;1;False
2023-01-01;2;2;17;1;1;False
2023-01-08;1;1;16;4;1;False
2023-01-15;2;2;16;1;1;False
2023-01-22;2;2;16;1;1;False
2023-01-29;2;1;16;1;1;False
