date;Society books;nasa;donald trump;tesla;air travel;isPartial
2022-01-02;0;7;4;37;2;False
2022-01-09;0;5;3;29;2;False
2022-01-16;0;6;3;27;2;False
2022-01-23;0;5;4;35;2;False
2022-01-30;0;100;3;32;2;False
2022-02-06;0;21;3;27;2;False
2022-02-13;0;9;4;25;2;False
2022-02-20;0;8;7;29;2;False
2022-02-27;0;5;6;26;2;False
2022-03-06;0;5;4;32;2;False
2022-03-13;0;6;3;30;2;False
2022-03-20;0;5;4;35;2;False
2022-03-27;0;5;3;32;2;False
2022-04-03;0;4;3;0;2;False
2022-04-10;0;5;3;0;2;False
2022-04-17;0;4;4;0;2;False
2022-04-24;0;5;5;0;2;False
2022-05-01;0;5;4;0;2;False
2022-05-08;0;5;3;0;2;False
2022-05-15;0;6;3;0;2;False
2022-05-22;0;4;3;0;2;False
2022-05-29;0;3;3;0;2;False
2022-06-05;0;3;3;0;2;False
2022-06-12;0;4;4;0;2;False
2022-06-19;0;4;3;0;2;False
2022-06-26;0;3;3;0;2;False
2022-07-03;0;4;3;0;2;False
2022-07-10;0;13;9;0;2;False
2022-07-17;0;6;5;0;2;False
2022-07-24;0;4;4;0;2;False
2022-07-31;0;4;3;0;2;False
2022-08-07;0;4;8;0;2;False
2022-08-14;0;4;4;0;2;False
2022-08-21;0;6;4;0;2;False
2022-08-28;0;20;4;0;2;False
2022-09-04;0;5;5;0;2;False
2022-09-11;0;4;4;0;2;False
2022-09-18;0;4;5;0;1;False
2022-09-25;0;11;3;0;2;False
2022-10-02;0;5;3;0;1;False
2022-10-09;0;4;3;0;1;False
2022-10-16;0;4;3;0;1;False
2022-10-23;0;4;4;0;1;False
2022-10-30;0;4;5;0;1;False
2022-11-06;0;7;8;0;1;False
2022-11-13;0;12;8;0;1;False
2022-11-20;0;7;6;0;1;False
2022-11-27;0;5;3;0;1;False
2022-12-04;0;4;4;0;1;False
2022-12-11;0;5;5;0;1;False
2022-12-18;0;5;5;0;1;False
2022-12-25;0;4;4;0;1;False
2023-01-01;0;3;3;0;2;False
2023-01-08;0;5;3;0;2;False
2023-01-15;0;4;3;0;2;False
2023-01-22;0;5;3;0;1;False
2023-01-29;0;6;3;0;2;False
