date;Fighting games;vatican city;Gun control;Opera;air travel;isPartial
2022-01-02;1;2;0;37;7;False
2022-01-09;1;2;0;39;7;False
2022-01-16;1;2;0;37;6;False
2022-01-23;1;1;0;44;6;False
2022-01-30;1;2;0;100;7;False
2022-02-06;1;1;0;74;7;False
2022-02-13;1;2;0;49;7;False
2022-02-20;1;2;0;51;7;False
2022-02-27;1;2;0;45;7;False
2022-03-06;1;2;0;47;7;False
2022-03-13;1;2;0;49;7;False
2022-03-20;1;3;0;44;7;False
2022-03-27;1;3;0;46;7;False
2022-04-03;1;3;0;49;6;False
2022-04-10;1;2;0;47;6;False
2022-04-17;1;3;0;38;6;False
2022-04-24;1;3;0;43;6;False
2022-05-01;1;3;0;46;7;False
2022-05-08;1;3;0;42;7;False
2022-05-15;1;3;1;41;7;False
2022-05-22;1;2;4;39;7;False
2022-05-29;1;2;2;60;7;False
2022-06-05;1;3;2;54;8;False
2022-06-12;1;3;1;38;7;False
2022-06-19;1;2;2;41;6;False
2022-06-26;1;3;1;44;7;False
2022-07-03;1;2;1;45;7;False
2022-07-10;1;2;1;46;7;False
2022-07-17;1;3;0;42;7;False
2022-07-24;1;3;0;47;7;False
2022-07-31;1;3;1;43;6;False
2022-08-07;1;2;0;37;6;False
2022-08-14;1;2;0;35;6;False
2022-08-21;1;2;0;37;5;False
2022-08-28;1;2;0;40;6;False
2022-09-04;1;2;1;39;6;False
2022-09-11;1;2;0;44;5;False
2022-09-18;1;2;0;45;5;False
2022-09-25;1;2;1;52;5;False
2022-10-02;1;2;0;44;5;False
2022-10-09;1;2;0;55;5;False
2022-10-16;1;3;0;49;4;False
2022-10-23;1;4;0;52;4;False
2022-10-30;1;2;0;50;4;False
2022-11-06;1;2;0;61;5;False
2022-11-13;1;2;0;59;4;False
2022-11-20;1;2;0;45;5;False
2022-11-27;1;2;0;48;5;False
2022-12-04;1;2;0;43;4;False
2022-12-11;1;2;0;42;4;False
2022-12-18;1;2;0;57;4;False
2022-12-25;1;4;1;48;5;False
2023-01-01;1;4;0;48;6;False
2023-01-08;1;3;0;56;5;False
2023-01-15;1;2;0;51;5;False
2023-01-22;1;2;0;50;5;False
2023-01-29;1;2;0;51;5;False
