date;Texas;Nazism;Office for Budget Responsibility;Economics;air travel;isPartial
2022-01-02;18;0;0;12;3;False
2022-01-09;16;0;0;15;4;False
2022-01-16;22;0;0;13;3;False
2022-01-23;17;0;0;15;3;False
2022-01-30;18;0;0;14;4;False
2022-02-06;17;0;0;14;4;False
2022-02-13;34;0;0;11;4;False
2022-02-20;39;0;0;12;4;False
2022-02-27;23;1;0;13;3;False
2022-03-06;21;1;0;14;3;False
2022-03-13;19;1;0;15;3;False
2022-03-20;19;0;0;14;3;False
2022-03-27;24;0;0;13;3;False
2022-04-03;19;0;0;11;3;False
2022-04-10;17;0;0;11;3;False
2022-04-17;17;0;0;13;3;False
2022-04-24;22;0;0;16;3;False
2022-05-01;25;0;0;17;3;False
2022-05-08;17;0;0;20;3;False
2022-05-15;16;0;0;21;3;False
2022-05-22;100;0;0;19;3;False
2022-05-29;25;0;0;13;3;False
2022-06-05;20;0;0;17;4;False
2022-06-12;19;0;0;14;3;False
2022-06-19;21;0;0;11;3;False
2022-06-26;20;0;0;10;3;False
2022-07-03;18;0;0;9;3;False
2022-07-10;20;0;0;8;4;False
2022-07-17;20;0;0;8;3;False
2022-07-24;18;0;0;7;3;False
2022-07-31;19;0;0;7;3;False
2022-08-07;20;0;0;8;3;False
2022-08-14;18;0;0;10;3;False
2022-08-21;18;0;0;9;2;False
2022-08-28;17;0;0;9;3;False
2022-09-04;16;0;0;13;3;False
2022-09-11;16;0;0;14;3;False
2022-09-18;15;0;0;17;2;False
2022-09-25;16;0;0;20;3;False
2022-10-02;17;0;0;17;2;False
2022-10-09;15;0;0;18;2;False
2022-10-16;19;0;0;15;2;False
2022-10-23;21;0;0;13;2;False
2022-10-30;18;0;0;15;2;False
2022-11-06;17;0;0;15;2;False
2022-11-13;21;0;0;16;2;False
2022-11-20;14;0;0;14;2;False
2022-11-27;17;0;0;14;2;False
2022-12-04;15;0;0;13;2;False
2022-12-11;15;0;0;12;2;False
2022-12-18;17;0;0;8;2;False
2022-12-25;19;0;0;6;2;False
2023-01-01;17;0;0;12;3;False
2023-01-08;16;0;0;15;3;False
2023-01-15;16;0;0;15;3;False
2023-01-22;17;0;0;14;2;False
2023-01-29;17;0;0;15;3;False
