date;Zoe Ball;Long Covid;Travel and transport;Haiti;air travel;isPartial
2022-01-02;2;100;0;2;4;False
2022-01-09;1;72;0;2;4;False
2022-01-16;1;66;0;2;3;False
2022-01-23;1;64;0;3;4;False
2022-01-30;1;62;0;2;4;False
2022-02-06;1;48;0;2;4;False
2022-02-13;1;36;0;2;4;False
2022-02-20;1;34;0;2;4;False
2022-02-27;1;34;0;2;4;False
2022-03-06;1;43;0;2;4;False
2022-03-13;2;59;0;2;4;False
2022-03-20;1;66;0;2;4;False
2022-03-27;1;61;0;3;4;False
2022-04-03;8;54;0;2;4;False
2022-04-10;1;45;0;2;3;False
2022-04-17;1;37;0;2;4;False
2022-04-24;1;26;0;2;4;False
2022-05-01;1;24;0;3;4;False
2022-05-08;1;23;0;3;4;False
2022-05-15;1;21;0;3;4;False
2022-05-22;1;18;0;3;4;False
2022-05-29;1;19;0;2;4;False
2022-06-05;2;25;0;2;4;False
2022-06-12;2;29;0;2;4;False
2022-06-19;3;39;0;2;4;False
2022-06-26;1;46;0;2;4;False
2022-07-03;2;57;0;2;4;False
2022-07-10;2;52;0;2;4;False
2022-07-17;1;36;0;2;4;False
2022-07-24;1;34;0;2;4;False
2022-07-31;2;25;0;1;4;False
2022-08-07;1;19;0;2;3;False
2022-08-14;1;17;0;1;3;False
2022-08-21;2;16;0;1;3;False
2022-08-28;1;16;0;2;3;False
2022-09-04;1;16;0;2;4;False
2022-09-11;1;18;0;2;3;False
2022-09-18;1;19;0;3;3;False
2022-09-25;2;24;0;3;3;False
2022-10-02;2;31;0;3;3;False
2022-10-09;1;29;0;3;3;False
2022-10-16;1;29;0;4;3;False
2022-10-23;3;21;0;2;2;False
2022-10-30;1;16;0;2;2;False
2022-11-06;2;15;0;3;3;False
2022-11-13;2;14;0;3;2;False
2022-11-20;1;12;0;2;3;False
2022-11-27;1;14;0;2;3;False
2022-12-04;1;14;0;11;2;False
2022-12-11;2;17;0;2;2;False
2022-12-18;1;24;0;2;2;False
2022-12-25;0;18;0;2;3;False
2023-01-01;1;15;0;2;3;False
2023-01-08;1;12;0;2;3;False
2023-01-15;1;10;0;3;3;False
2023-01-22;1;10;0;2;3;False
2023-01-29;7;12;0;4;3;False
