date;jeffrey epstein;Lipstick;Triple J Hottest 100;Daniil Medvedev;air travel;isPartial
2022-01-02;43;78;1;2;20;False
2022-01-09;34;76;0;0;22;False
2022-01-16;37;73;1;5;17;False
2022-01-23;16;74;1;23;19;False
2022-01-30;10;88;0;31;21;False
2022-02-06;8;79;0;1;21;False
2022-02-13;21;77;0;1;21;False
2022-02-20;14;79;0;7;22;False
2022-02-27;7;73;0;6;19;False
2022-03-06;5;75;0;2;20;False
2022-03-13;5;72;0;4;20;False
2022-03-20;5;76;0;2;19;False
2022-03-27;6;73;0;4;21;False
2022-04-03;9;71;0;1;19;False
2022-04-10;12;74;0;0;16;False
2022-04-17;10;68;0;2;18;False
2022-04-24;6;73;0;1;19;False
2022-05-01;5;78;0;0;19;False
2022-05-08;4;70;0;1;20;False
2022-05-15;3;74;0;2;21;False
2022-05-22;4;71;0;4;19;False
2022-05-29;5;79;0;4;20;False
2022-06-05;7;76;0;3;22;False
2022-06-12;4;69;0;5;19;False
2022-06-19;4;71;0;6;18;False
2022-06-26;19;75;0;3;19;False
2022-07-03;16;78;0;4;20;False
2022-07-10;7;70;1;3;21;False
2022-07-17;5;67;0;0;20;False
2022-07-24;4;84;0;1;20;False
2022-07-31;4;80;0;1;18;False
2022-08-07;5;68;0;3;17;False
2022-08-14;4;67;0;3;17;False
2022-08-21;4;74;0;1;15;False
2022-08-28;4;73;0;3;16;False
2022-09-04;10;67;0;3;18;False
2022-09-11;20;72;0;1;15;False
2022-09-18;12;71;0;2;15;False
2022-09-25;8;74;0;0;15;False
2022-10-02;6;76;0;2;14;False
2022-10-09;6;75;1;1;14;False
2022-10-16;5;78;0;0;13;False
2022-10-23;5;82;0;2;12;False
2022-10-30;3;78;0;2;12;False
2022-11-06;4;86;0;0;13;False
2022-11-13;6;86;0;4;11;False
2022-11-20;8;95;0;0;14;False
2022-11-27;14;99;0;0;13;False
2022-12-04;10;92;0;0;11;False
2022-12-11;9;100;0;0;12;False
2022-12-18;8;97;0;0;11;False
2022-12-25;11;100;0;0;14;False
2023-01-01;9;80;0;2;17;False
2023-01-08;6;73;0;0;16;False
2023-01-15;6;80;0;5;15;False
2023-01-22;9;81;2;1;14;False
2023-01-29;5;89;0;1;15;False
