date;sidney poitier;Akshata Murty;Group trips;Randy Newman;air travel;isPartial
2022-01-02;100;0;0;0;7;False
2022-01-09;14;0;0;0;8;False
2022-01-16;2;0;0;1;6;False
2022-01-23;1;0;0;0;6;False
2022-01-30;5;0;0;1;7;False
2022-02-06;1;0;0;1;7;False
2022-02-13;1;0;0;1;7;False
2022-02-20;1;0;0;1;8;False
2022-02-27;2;0;0;1;7;False
2022-03-06;1;0;0;1;7;False
2022-03-13;1;0;0;0;7;False
2022-03-20;3;0;0;1;7;False
2022-03-27;1;1;0;0;7;False
2022-04-03;1;3;0;0;7;False
2022-04-10;1;1;0;0;6;False
2022-04-17;0;0;0;0;6;False
2022-04-24;0;0;0;0;6;False
2022-05-01;1;0;0;0;7;False
2022-05-08;1;0;0;0;7;False
2022-05-15;1;0;0;0;7;False
2022-05-22;1;0;0;0;7;False
2022-05-29;1;0;0;1;7;False
2022-06-05;1;0;0;0;8;False
2022-06-12;0;0;0;0;7;False
2022-06-19;1;0;0;0;6;False
2022-06-26;1;0;0;0;7;False
2022-07-03;0;0;0;0;7;False
2022-07-10;0;1;0;0;7;False
2022-07-17;0;1;0;0;7;False
2022-07-24;0;0;0;0;7;False
2022-07-31;1;0;0;0;6;False
2022-08-07;0;0;0;0;6;False
2022-08-14;1;0;0;0;6;False
2022-08-21;1;0;0;0;5;False
2022-08-28;1;0;0;1;6;False
2022-09-04;1;0;0;0;6;False
2022-09-11;1;0;0;0;5;False
2022-09-18;1;0;0;0;5;False
2022-09-25;1;0;0;0;5;False
2022-10-02;1;0;0;0;5;False
2022-10-09;1;0;0;0;5;False
2022-10-16;1;0;0;0;4;False
2022-10-23;1;4;0;1;4;False
2022-10-30;1;1;0;1;4;False
2022-11-06;1;0;0;0;5;False
2022-11-13;1;0;0;0;4;False
2022-11-20;0;0;0;0;5;False
2022-11-27;1;0;0;0;5;False
2022-12-04;0;0;0;1;4;False
2022-12-11;0;0;0;0;4;False
2022-12-18;1;0;0;0;4;False
2022-12-25;2;0;0;0;5;False
2023-01-01;1;0;0;1;6;False
2023-01-08;1;0;0;0;5;False
2023-01-15;0;0;0;0;5;False
2023-01-22;0;0;0;1;5;False
2023-01-29;1;0;0;1;5;False
