date;Firefighters;dyslexia;virgin orbit;Flights;air travel;isPartial
2022-01-02;9;46;1;0;30;False
2022-01-09;7;62;4;0;33;False
2022-01-16;6;62;0;0;25;False
2022-01-23;7;81;1;0;28;False
2022-01-30;8;76;1;0;32;False
2022-02-06;7;69;0;0;32;False
2022-02-13;6;57;2;0;32;False
2022-02-20;9;56;1;0;33;False
2022-02-27;8;61;1;0;28;False
2022-03-06;9;67;1;0;30;False
2022-03-13;8;65;1;0;30;False
2022-03-20;6;69;1;0;29;False
2022-03-27;7;71;1;0;31;False
2022-04-03;7;59;1;0;28;False
2022-04-10;5;44;0;0;24;False
2022-04-17;7;56;1;0;27;False
2022-04-24;6;62;1;0;28;False
2022-05-01;8;62;1;0;29;False
2022-05-08;6;61;1;0;30;False
2022-05-15;6;64;1;0;31;False
2022-05-22;5;62;0;0;29;False
2022-05-29;6;41;0;0;30;False
2022-06-05;4;64;1;0;33;False
2022-06-12;6;59;0;0;29;False
2022-06-19;6;57;1;0;27;False
2022-06-26;7;55;1;0;29;False
2022-07-03;5;52;1;0;31;False
2022-07-10;6;55;1;0;32;False
2022-07-17;10;46;0;0;30;False
2022-07-24;7;41;0;0;30;False
2022-07-31;6;44;0;0;27;False
2022-08-07;7;37;0;0;26;False
2022-08-14;7;42;1;0;26;False
2022-08-21;6;42;1;0;22;False
2022-08-28;6;43;1;0;24;False
2022-09-04;9;52;1;0;26;False
2022-09-11;7;66;1;0;23;False
2022-09-18;7;62;0;0;22;False
2022-09-25;6;73;0;0;23;False
2022-10-02;7;82;0;0;22;False
2022-10-09;8;70;4;0;21;False
2022-10-16;8;86;1;0;19;False
2022-10-23;6;53;1;0;18;False
2022-10-30;8;71;1;0;18;False
2022-11-06;6;77;1;0;20;False
2022-11-13;7;72;2;0;17;False
2022-11-20;7;65;1;0;21;False
2022-11-27;12;67;1;0;20;False
2022-12-04;9;55;1;0;17;False
2022-12-11;6;50;1;0;18;False
2022-12-18;6;38;3;0;17;False
2022-12-25;5;31;1;0;22;False
2023-01-01;7;47;4;0;25;False
2023-01-08;34;65;100;0;23;False
2023-01-15;16;68;2;0;23;False
2023-01-22;12;68;2;0;21;False
2023-01-29;24;71;1;0;23;False
