date;extreme weather;premier league;Tesla;Manchester United Women;air travel;isPartial
2022-01-02;0;40;9;0;1;False
2022-01-09;0;38;7;0;1;False
2022-01-16;0;56;7;0;0;False
2022-01-23;0;34;9;0;0;False
2022-01-30;0;20;8;0;1;False
2022-02-06;0;50;7;0;1;False
2022-02-13;0;50;6;0;1;False
2022-02-20;0;62;7;0;1;False
2022-02-27;0;42;7;0;1;False
2022-03-06;0;63;8;0;1;False
2022-03-13;0;60;8;0;1;False
2022-03-20;0;24;9;0;1;False
2022-03-27;0;28;8;0;1;False
2022-04-03;0;54;0;0;0;False
2022-04-10;0;51;0;0;0;False
2022-04-17;0;70;0;0;0;False
2022-04-24;0;58;0;0;0;False
2022-05-01;0;67;0;0;1;False
2022-05-08;0;72;0;0;1;False
2022-05-15;0;82;0;0;1;False
2022-05-22;0;57;0;0;1;False
2022-05-29;0;11;0;0;1;False
2022-06-05;0;8;0;0;1;False
2022-06-12;0;12;0;0;1;False
2022-06-19;0;8;0;0;0;False
2022-06-26;0;7;0;0;1;False
2022-07-03;0;17;0;0;1;False
2022-07-10;1;10;0;0;1;False
2022-07-17;0;10;0;0;1;False
2022-07-24;0;15;0;0;1;False
2022-07-31;0;53;0;0;0;False
2022-08-07;0;58;0;0;0;False
2022-08-14;0;52;0;0;0;False
2022-08-21;0;81;0;0;0;False
2022-08-28;0;100;0;0;0;False
2022-09-04;0;44;0;0;0;False
2022-09-11;0;33;0;0;0;False
2022-09-18;0;26;0;0;0;False
2022-09-25;0;31;0;0;0;False
2022-10-02;0;51;0;0;0;False
2022-10-09;0;55;0;0;0;False
2022-10-16;0;83;0;0;0;False
2022-10-23;0;57;0;0;0;False
2022-10-30;0;47;0;0;0;False
2022-11-06;0;61;0;0;0;False
2022-11-13;0;24;0;0;0;False
2022-11-20;0;8;0;0;0;False
2022-11-27;0;6;0;0;0;False
2022-12-04;0;6;0;0;0;False
2022-12-11;0;6;0;0;0;False
2022-12-18;0;13;0;0;0;False
2022-12-25;0;87;0;0;0;False
2023-01-01;0;75;0;0;0;False
2023-01-08;0;48;0;0;0;False
2023-01-15;0;65;0;0;0;False
2023-01-22;0;44;0;0;0;False
2023-01-29;0;43;0;0;0;False
