date;matt hancock;The moon;Ray Winstone;Barbarians;air travel;isPartial
2022-01-02;1;14;1;0;2;False
2022-01-09;1;16;1;0;2;False
2022-01-16;2;41;0;0;2;False
2022-01-23;1;23;3;0;2;False
2022-01-30;1;19;1;0;2;False
2022-02-06;1;16;0;1;2;False
2022-02-13;2;18;0;1;2;False
2022-02-20;1;15;0;1;2;False
2022-02-27;5;17;0;1;2;False
2022-03-06;1;12;0;1;2;False
2022-03-13;1;20;0;1;2;False
2022-03-20;1;17;0;0;2;False
2022-03-27;1;18;0;1;2;False
2022-04-03;1;16;0;1;2;False
2022-04-10;1;21;0;1;2;False
2022-04-17;1;17;0;1;2;False
2022-04-24;1;16;0;1;2;False
2022-05-01;1;17;0;1;2;False
2022-05-08;1;17;0;1;2;False
2022-05-15;0;17;0;1;2;False
2022-05-22;0;11;0;1;2;False
2022-05-29;0;11;0;1;2;False
2022-06-05;1;12;1;1;2;False
2022-06-12;0;18;0;5;2;False
2022-06-19;1;12;0;12;2;False
2022-06-26;1;12;0;1;2;False
2022-07-03;2;12;0;1;2;False
2022-07-10;1;21;0;1;2;False
2022-07-17;1;12;0;1;2;False
2022-07-24;0;12;0;0;2;False
2022-07-31;0;12;0;1;2;False
2022-08-07;0;27;0;1;2;False
2022-08-14;0;13;0;0;2;False
2022-08-21;0;14;0;0;2;False
2022-08-28;0;18;0;0;2;False
2022-09-04;1;18;1;0;2;False
2022-09-11;1;15;0;1;2;False
2022-09-18;0;13;0;0;2;False
2022-09-25;1;13;0;1;2;False
2022-10-02;1;19;0;0;2;False
2022-10-09;1;20;0;1;2;False
2022-10-16;2;12;0;2;1;False
2022-10-23;3;11;0;3;1;False
2022-10-30;36;16;0;2;1;False
2022-11-06;100;21;0;3;1;False
2022-11-13;41;16;0;5;1;False
2022-11-20;25;13;1;2;1;False
2022-11-27;41;13;1;1;1;False
2022-12-04;6;19;1;0;1;False
2022-12-11;2;13;1;1;1;False
2022-12-18;1;11;0;1;1;False
2022-12-25;3;16;0;1;2;False
2023-01-01;1;16;0;1;2;False
2023-01-08;1;15;0;1;2;False
2023-01-15;1;17;1;1;2;False
2023-01-22;4;17;1;1;2;False
2023-01-29;3;17;0;1;2;False
