date;demi lovato;RMT;Albert Einstein;Supergrass;air travel;isPartial
2022-01-02;11;2;7;2;18;False
2022-01-09;15;3;7;2;20;False
2022-01-16;12;3;8;1;15;False
2022-01-23;13;3;10;1;17;False
2022-01-30;15;4;8;2;19;False
2022-02-06;12;3;8;2;19;False
2022-02-13;10;3;8;2;19;False
2022-02-20;11;6;9;1;20;False
2022-02-27;8;18;8;2;17;False
2022-03-06;9;4;8;2;18;False
2022-03-13;9;9;12;2;18;False
2022-03-20;10;5;9;3;17;False
2022-03-27;10;3;7;3;19;False
2022-04-03;10;4;9;3;17;False
2022-04-10;9;4;7;4;15;False
2022-04-17;9;5;7;2;16;False
2022-04-24;10;6;7;2;17;False
2022-05-01;11;4;9;2;17;False
2022-05-08;8;5;10;2;18;False
2022-05-15;8;6;8;2;19;False
2022-05-22;8;24;8;2;18;False
2022-05-29;10;13;6;3;18;False
2022-06-05;12;43;8;6;20;False
2022-06-12;13;34;8;3;17;False
2022-06-19;10;100;7;24;16;False
2022-06-26;9;26;8;12;17;False
2022-07-03;6;12;8;3;18;False
2022-07-10;10;23;8;3;19;False
2022-07-17;8;16;7;3;18;False
2022-07-24;10;31;5;3;18;False
2022-07-31;22;14;6;3;16;False
2022-08-07;12;15;6;3;16;False
2022-08-14;24;21;5;3;15;False
2022-08-21;26;14;6;2;13;False
2022-08-28;16;19;5;7;15;False
2022-09-04;14;19;7;5;16;False
2022-09-11;12;8;8;2;14;False
2022-09-18;10;16;8;2;13;False
2022-09-25;7;16;8;2;14;False
2022-10-02;8;14;9;2;13;False
2022-10-09;6;10;8;3;12;False
2022-10-16;8;23;8;2;11;False
2022-10-23;8;25;8;2;11;False
2022-10-30;9;33;9;2;11;False
2022-11-06;7;15;9;2;12;False
2022-11-13;7;14;9;2;10;False
2022-11-20;6;44;7;1;12;False
2022-11-27;7;25;8;2;12;False
2022-12-04;6;57;7;2;10;False
2022-12-11;6;66;5;1;11;False
2022-12-18;6;28;7;1;10;False
2022-12-25;7;17;9;1;13;False
2023-01-01;7;33;6;1;15;False
2023-01-08;47;19;7;2;14;False
2023-01-15;8;22;7;3;14;False
2023-01-22;6;15;9;7;13;False
2023-01-29;8;14;8;6;14;False
