date;Job losses;rugby union;Vegetarianism;Nintendo;air travel;isPartial
2022-01-02;0;4;0;49;2;False
2022-01-09;0;4;0;34;3;False
2022-01-16;0;4;0;29;2;False
2022-01-23;0;4;0;33;2;False
2022-01-30;0;8;0;32;3;False
2022-02-06;0;7;0;36;3;False
2022-02-13;0;5;0;35;3;False
2022-02-20;0;7;0;32;3;False
2022-02-27;0;5;0;27;2;False
2022-03-06;0;7;0;28;2;False
2022-03-13;0;7;0;27;2;False
2022-03-20;0;4;0;25;2;False
2022-03-27;0;3;0;25;2;False
2022-04-03;0;3;0;27;2;False
2022-04-10;0;3;0;30;2;False
2022-04-17;0;3;0;27;2;False
2022-04-24;0;4;0;26;2;False
2022-05-01;0;3;0;29;2;False
2022-05-08;0;3;0;24;2;False
2022-05-15;0;3;0;24;2;False
2022-05-22;0;3;0;22;2;False
2022-05-29;0;3;0;27;2;False
2022-06-05;0;2;0;25;3;False
2022-06-12;0;3;0;26;2;False
2022-06-19;0;3;0;24;2;False
2022-06-26;0;5;0;27;2;False
2022-07-03;0;5;0;25;2;False
2022-07-10;0;7;0;25;3;False
2022-07-17;0;3;0;26;2;False
2022-07-24;0;2;0;27;2;False
2022-07-31;0;2;0;27;2;False
2022-08-07;0;2;0;27;2;False
2022-08-14;0;2;0;26;2;False
2022-08-21;0;2;0;26;2;False
2022-08-28;0;2;0;31;2;False
2022-09-04;0;3;0;27;2;False
2022-09-11;0;4;0;34;2;False
2022-09-18;0;4;0;28;2;False
2022-09-25;0;4;0;28;2;False
2022-10-02;0;4;0;29;2;False
2022-10-09;0;7;0;29;2;False
2022-10-16;0;7;0;29;2;False
2022-10-23;0;7;0;31;1;False
2022-10-30;0;10;0;34;1;False
2022-11-06;0;14;0;40;2;False
2022-11-13;0;11;0;54;1;False
2022-11-20;0;7;0;65;2;False
2022-11-27;0;5;0;49;2;False
2022-12-04;0;4;0;44;1;False
2022-12-11;0;3;0;49;1;False
2022-12-18;0;3;0;55;1;False
2022-12-25;0;3;0;100;2;False
2023-01-01;0;3;0;48;2;False
2023-01-08;0;4;0;31;2;False
2023-01-15;0;4;0;29;2;False
2023-01-22;0;4;0;31;2;False
2023-01-29;0;8;0;30;2;False
