date;Corporate sponsorship;Violence against women and girls;PwC;Brian Friel;air travel;isPartial
2022-01-02;0;0;48;1;36;False
2022-01-09;1;1;53;2;40;False
2022-01-16;0;0;51;2;31;False
2022-01-23;0;1;53;1;34;False
2022-01-30;1;1;56;0;38;False
2022-02-06;0;0;62;0;39;False
2022-02-13;0;0;49;1;39;False
2022-02-20;0;0;53;0;40;False
2022-02-27;0;0;54;0;35;False
2022-03-06;0;1;62;0;36;False
2022-03-13;0;1;52;1;36;False
2022-03-20;0;0;52;1;35;False
2022-03-27;0;1;61;1;37;False
2022-04-03;0;0;59;0;34;False
2022-04-10;0;1;48;1;30;False
2022-04-17;0;0;48;1;33;False
2022-04-24;0;0;61;1;34;False
2022-05-01;1;1;59;1;35;False
2022-05-08;0;1;71;1;36;False
2022-05-15;0;0;63;1;37;False
2022-05-22;1;1;60;2;35;False
2022-05-29;0;0;43;1;36;False
2022-06-05;1;0;57;0;40;False
2022-06-12;1;0;60;1;35;False
2022-06-19;0;0;63;0;33;False
2022-06-26;0;0;100;1;35;False
2022-07-03;0;2;63;0;37;False
2022-07-10;0;0;55;0;38;False
2022-07-17;0;1;62;0;37;False
2022-07-24;1;0;59;0;36;False
2022-07-31;1;0;54;1;33;False
2022-08-07;0;0;55;1;32;False
2022-08-14;0;1;65;1;31;False
2022-08-21;0;1;76;1;27;False
2022-08-28;0;0;53;0;30;False
2022-09-04;0;1;67;0;32;False
2022-09-11;0;0;68;0;28;False
2022-09-18;0;0;61;2;27;False
2022-09-25;1;1;76;0;28;False
2022-10-02;0;0;81;0;26;False
2022-10-09;0;1;79;0;25;False
2022-10-16;1;0;73;0;23;False
2022-10-23;1;1;73;0;21;False
2022-10-30;1;1;73;1;21;False
2022-11-06;0;1;79;1;24;False
2022-11-13;1;2;80;1;20;False
2022-11-20;0;1;65;1;25;False
2022-11-27;1;1;63;0;24;False
2022-12-04;0;1;57;1;21;False
2022-12-11;0;0;61;0;21;False
2022-12-18;0;0;46;0;20;False
2022-12-25;0;1;29;0;26;False
2023-01-01;0;1;52;0;31;False
2023-01-08;0;1;65;1;29;False
2023-01-15;0;1;73;1;28;False
2023-01-22;0;0;66;1;26;False
2023-01-29;0;0;77;2;28;False
