date;Morrissey;Beirut explosion;paris 2024 olympics;Dorset;air travel;isPartial
2022-01-02;4;0;0;69;6;False
2022-01-09;5;0;0;74;7;False
2022-01-16;8;0;0;65;5;False
2022-01-23;9;0;0;73;6;False
2022-01-30;5;0;0;76;7;False
2022-02-06;4;0;0;74;7;False
2022-02-13;4;0;0;80;7;False
2022-02-20;4;0;0;68;7;False
2022-02-27;5;0;0;69;6;False
2022-03-06;4;0;0;68;6;False
2022-03-13;4;0;0;71;6;False
2022-03-20;4;0;0;73;6;False
2022-03-27;3;0;0;71;7;False
2022-04-03;3;0;0;73;6;False
2022-04-10;4;0;0;74;5;False
2022-04-17;4;0;0;73;6;False
2022-04-24;4;0;0;71;6;False
2022-05-01;4;0;0;83;6;False
2022-05-08;5;0;0;75;6;False
2022-05-15;4;0;0;76;7;False
2022-05-22;4;0;0;73;6;False
2022-05-29;4;0;0;90;6;False
2022-06-05;7;0;0;81;7;False
2022-06-12;11;0;0;76;6;False
2022-06-19;16;0;0;77;6;False
2022-06-26;9;0;0;74;6;False
2022-07-03;8;0;0;86;7;False
2022-07-10;6;0;0;85;7;False
2022-07-17;5;0;0;79;6;False
2022-07-24;5;0;1;96;6;False
2022-07-31;4;1;1;96;6;False
2022-08-07;4;0;1;99;6;False
2022-08-14;3;0;1;89;5;False
2022-08-21;4;0;0;100;5;False
2022-08-28;5;0;0;92;5;False
2022-09-04;9;0;0;72;6;False
2022-09-11;6;0;0;67;5;False
2022-09-18;6;0;0;57;5;False
2022-09-25;9;0;0;61;5;False
2022-10-02;10;0;0;64;5;False
2022-10-09;9;0;0;60;4;False
2022-10-16;4;0;0;66;4;False
2022-10-23;4;0;0;63;4;False
2022-10-30;4;0;0;62;4;False
2022-11-06;4;0;0;59;4;False
2022-11-13;6;0;0;59;4;False
2022-11-20;4;0;0;51;4;False
2022-11-27;4;0;1;54;4;False
2022-12-04;4;0;1;47;4;False
2022-12-11;3;1;0;50;4;False
2022-12-18;4;0;1;50;4;False
2022-12-25;5;0;0;59;5;False
2023-01-01;10;0;0;65;5;False
2023-01-08;6;0;1;64;5;False
2023-01-15;4;0;1;65;5;False
2023-01-22;5;0;1;62;5;False
2023-01-29;5;0;1;68;5;False
