date;V&A;Dior;Morgan Freeman;FKA twigs;air travel;isPartial
2022-01-02;6;63;5;1;5;False
2022-01-09;6;59;3;3;6;False
2022-01-16;5;50;3;4;4;False
2022-01-23;5;52;3;3;5;False
2022-01-30;5;54;6;1;6;False
2022-02-06;6;53;3;1;6;False
2022-02-13;7;50;4;1;6;False
2022-02-20;6;47;4;2;6;False
2022-02-27;5;47;3;2;5;False
2022-03-06;6;51;3;2;5;False
2022-03-13;6;51;2;1;5;False
2022-03-20;6;53;3;2;5;False
2022-03-27;5;45;3;1;5;False
2022-04-03;7;45;3;1;5;False
2022-04-10;6;49;3;1;4;False
2022-04-17;6;49;3;1;5;False
2022-04-24;6;52;4;1;5;False
2022-05-01;6;59;3;1;5;False
2022-05-08;5;56;2;1;5;False
2022-05-15;5;51;2;1;5;False
2022-05-22;5;52;3;1;5;False
2022-05-29;5;57;3;1;5;False
2022-06-05;4;52;2;1;6;False
2022-06-12;4;54;2;1;5;False
2022-06-19;5;47;2;1;5;False
2022-06-26;5;49;3;1;5;False
2022-07-03;5;48;2;1;5;False
2022-07-10;5;51;2;1;6;False
2022-07-17;4;47;2;1;5;False
2022-07-24;6;54;3;1;5;False
2022-07-31;5;50;3;1;5;False
2022-08-07;5;52;2;1;5;False
2022-08-14;5;45;2;1;5;False
2022-08-21;5;51;2;1;4;False
2022-08-28;5;53;2;2;4;False
2022-09-04;5;46;2;1;5;False
2022-09-11;5;60;2;1;4;False
2022-09-18;6;51;2;1;4;False
2022-09-25;6;53;2;4;4;False
2022-10-02;5;55;2;3;4;False
2022-10-09;7;52;2;1;4;False
2022-10-16;7;54;2;1;3;False
2022-10-23;6;60;2;1;3;False
2022-10-30;6;61;2;1;3;False
2022-11-06;5;80;2;1;3;False
2022-11-13;5;86;3;1;3;False
2022-11-20;5;94;22;1;4;False
2022-11-27;5;94;3;1;4;False
2022-12-04;4;89;3;1;3;False
2022-12-11;4;93;3;1;3;False
2022-12-18;4;93;3;1;3;False
2022-12-25;5;100;6;1;4;False
2023-01-01;5;60;5;1;4;False
2023-01-08;5;52;4;1;4;False
2023-01-15;6;53;3;1;4;False
2023-01-22;6;53;2;1;4;False
2023-01-29;6;54;3;1;4;False
