date;Carbon footprints;Kevin McCarthy;Harvard University;Catherine, Princess of Wales;air travel;isPartial
2022-01-02;1;2;15;0;35;False
2022-01-09;0;1;15;0;38;False
2022-01-16;0;1;12;0;30;False
2022-01-23;0;1;12;0;33;False
2022-01-30;0;0;11;1;37;False
2022-02-06;0;1;12;0;37;False
2022-02-13;0;0;12;0;37;False
2022-02-20;0;0;13;0;38;False
2022-02-27;0;1;12;0;33;False
2022-03-06;0;0;12;0;35;False
2022-03-13;1;0;11;0;35;False
2022-03-20;0;1;12;0;34;False
2022-03-27;0;1;11;0;36;False
2022-04-03;0;0;12;0;33;False
2022-04-10;0;0;13;0;29;False
2022-04-17;1;8;12;0;32;False
2022-04-24;1;2;11;0;33;False
2022-05-01;0;1;13;0;34;False
2022-05-08;1;1;14;0;35;False
2022-05-15;0;1;14;0;36;False
2022-05-22;0;0;12;0;34;False
2022-05-29;0;1;11;0;35;False
2022-06-05;0;1;12;0;39;False
2022-06-12;0;1;9;0;34;False
2022-06-19;1;1;9;0;32;False
2022-06-26;0;2;9;0;34;False
2022-07-03;0;2;8;1;36;False
2022-07-10;0;0;11;0;37;False
2022-07-17;0;0;8;0;35;False
2022-07-24;0;1;10;0;35;False
2022-07-31;0;1;9;0;31;False
2022-08-07;0;1;9;0;30;False
2022-08-14;0;1;7;0;30;False
2022-08-21;0;0;10;0;26;False
2022-08-28;0;0;10;0;29;False
2022-09-04;0;1;11;0;31;False
2022-09-11;0;0;9;6;27;False
2022-09-18;0;1;10;5;26;False
2022-09-25;0;1;11;1;27;False
2022-10-02;1;0;12;1;25;False
2022-10-09;0;1;12;0;24;False
2022-10-16;0;1;15;1;22;False
2022-10-23;0;1;14;1;21;False
2022-10-30;0;1;13;1;21;False
2022-11-06;1;3;15;0;23;False
2022-11-13;0;3;14;1;19;False
2022-11-20;0;2;12;0;24;False
2022-11-27;0;2;12;0;24;False
2022-12-04;0;1;18;1;20;False
2022-12-11;0;1;15;2;21;False
2022-12-18;0;4;12;1;19;False
2022-12-25;1;2;10;1;25;False
2023-01-01;1;100;15;2;30;False
2023-01-08;0;14;13;2;28;False
2023-01-15;0;3;13;1;27;False
2023-01-22;1;2;13;1;25;False
2023-01-29;0;2;11;1;27;False
