date;Nick Kyrgios;Mercedes GP;Princess Eugenie;M3gan;air travel;isPartial
2022-01-02;0;0;1;0;5;False
2022-01-09;1;0;1;0;5;False
2022-01-16;5;0;1;0;4;False
2022-01-23;5;0;1;0;5;False
2022-01-30;1;0;0;0;5;False
2022-02-06;0;0;1;0;5;False
2022-02-13;0;0;2;0;5;False
2022-02-20;0;0;1;0;5;False
2022-02-27;0;0;0;0;5;False
2022-03-06;0;0;0;0;5;False
2022-03-13;3;0;0;0;5;False
2022-03-20;1;0;1;0;5;False
2022-03-27;2;0;1;0;5;False
2022-04-03;2;0;0;0;5;False
2022-04-10;0;0;0;0;4;False
2022-04-17;0;0;1;0;4;False
2022-04-24;0;0;1;0;5;False
2022-05-01;0;0;1;0;5;False
2022-05-08;0;0;1;0;5;False
2022-05-15;0;0;1;0;5;False
2022-05-22;0;0;1;0;5;False
2022-05-29;0;0;4;0;5;False
2022-06-05;2;0;3;0;5;False
2022-06-12;3;0;1;0;5;False
2022-06-19;1;0;1;0;4;False
2022-06-26;40;0;1;0;5;False
2022-07-03;100;0;0;0;5;False
2022-07-10;75;0;0;0;5;False
2022-07-17;2;0;0;0;5;False
2022-07-24;2;0;0;0;5;False
2022-07-31;4;0;1;0;4;False
2022-08-07;8;0;0;0;4;False
2022-08-14;2;0;0;0;4;False
2022-08-21;2;0;0;0;4;False
2022-08-28;5;0;1;0;4;False
2022-09-04;9;0;5;0;4;False
2022-09-11;1;0;12;0;4;False
2022-09-18;1;0;13;0;4;False
2022-09-25;0;0;1;0;4;False
2022-10-02;2;0;1;0;4;False
2022-10-09;0;0;1;4;3;False
2022-10-16;0;0;1;2;3;False
2022-10-23;0;0;0;1;3;False
2022-10-30;0;0;0;0;3;False
2022-11-06;0;0;0;0;3;False
2022-11-13;1;0;0;0;3;False
2022-11-20;0;0;0;0;3;False
2022-11-27;0;0;0;0;3;False
2022-12-04;0;0;1;1;3;False
2022-12-11;0;0;2;1;3;False
2022-12-18;0;0;1;1;3;False
2022-12-25;1;0;2;2;4;False
2023-01-01;0;0;1;11;4;False
2023-01-08;3;0;1;19;4;False
2023-01-15;8;0;1;17;4;False
2023-01-22;3;0;4;14;3;False
2023-01-29;3;0;1;10;4;False
