date;Venice;manchester;Manchester United;senegal;air travel;isPartial
2022-01-02;2;72;11;1;1;False
2022-01-09;2;73;14;2;1;False
2022-01-16;2;74;11;1;1;False
2022-01-23;2;75;7;1;1;False
2022-01-30;3;85;15;3;1;False
2022-02-06;3;75;11;8;1;False
2022-02-13;3;82;11;0;1;False
2022-02-20;3;85;16;0;1;False
2022-02-27;2;74;7;0;1;False
2022-03-06;3;81;15;0;1;False
2022-03-13;3;80;12;0;1;False
2022-03-20;4;82;6;2;1;False
2022-03-27;4;76;7;3;1;False
2022-04-03;3;88;8;0;1;False
2022-04-10;3;85;10;0;0;False
2022-04-17;4;85;15;0;1;False
2022-04-24;4;80;9;0;1;False
2022-05-01;5;95;13;0;1;False
2022-05-08;3;85;9;0;1;False
2022-05-15;3;86;8;1;1;False
2022-05-22;3;88;9;0;1;False
2022-05-29;3;94;8;1;1;False
2022-06-05;3;82;7;1;1;False
2022-06-12;3;87;9;0;1;False
2022-06-19;3;78;9;0;1;False
2022-06-26;3;78;10;0;1;False
2022-07-03;3;80;11;0;1;False
2022-07-10;3;91;19;1;1;False
2022-07-17;3;88;14;0;1;False
2022-07-24;3;88;13;0;1;False
2022-07-31;3;83;13;0;1;False
2022-08-07;3;100;23;0;1;False
2022-08-14;3;82;14;0;1;False
2022-08-21;3;97;24;0;0;False
2022-08-28;3;90;18;0;0;False
2022-09-04;4;89;18;0;1;False
2022-09-11;3;81;10;0;0;False
2022-09-18;3;71;6;1;0;False
2022-09-25;3;76;6;1;0;False
2022-10-02;3;90;15;0;0;False
2022-10-09;3;87;12;0;0;False
2022-10-16;3;88;17;1;0;False
2022-10-23;3;78;10;0;0;False
2022-10-30;2;78;12;1;0;False
2022-11-06;2;86;13;1;0;False
2022-11-13;2;71;9;2;0;False
2022-11-20;2;74;7;16;0;False
2022-11-27;2;72;5;18;0;False
2022-12-04;2;71;6;48;0;False
2022-12-11;2;73;5;1;0;False
2022-12-18;2;68;8;1;0;False
2022-12-25;2;76;14;0;0;False
2023-01-01;3;77;16;1;1;False
2023-01-08;3;88;18;1;0;False
2023-01-15;3;81;13;1;0;False
2023-01-22;3;87;18;1;0;False
2023-01-29;3;83;17;1;0;False
