date;Lucy Letby;Short stories;Emma Raducanu;barcelona;air travel;isPartial
2022-01-02;0;2;3;36;3;False
2022-01-09;0;1;6;43;3;False
2022-01-16;0;1;23;30;2;False
2022-01-23;1;1;8;33;3;False
2022-01-30;0;1;4;40;3;False
2022-02-06;0;1;2;44;3;False
2022-02-13;0;1;2;46;3;False
2022-02-20;0;1;5;55;3;False
2022-02-27;0;1;1;42;3;False
2022-03-06;0;1;5;48;3;False
2022-03-13;0;2;5;59;3;False
2022-03-20;0;1;5;76;3;False
2022-03-27;0;1;2;43;3;False
2022-04-03;0;1;2;59;3;False
2022-04-10;1;1;4;68;2;False
2022-04-17;0;1;8;66;3;False
2022-04-24;0;1;6;50;3;False
2022-05-01;0;2;8;53;3;False
2022-05-08;0;2;5;46;3;False
2022-05-15;0;2;3;51;3;False
2022-05-22;0;1;11;53;3;False
2022-05-29;0;1;3;47;3;False
2022-06-05;0;1;7;45;3;False
2022-06-12;0;1;3;41;3;False
2022-06-19;0;1;6;41;3;False
2022-06-26;0;1;49;39;3;False
2022-07-03;0;1;5;40;3;False
2022-07-10;0;2;3;49;3;False
2022-07-17;0;1;3;56;3;False
2022-07-24;0;1;3;67;3;False
2022-07-31;0;1;9;48;2;False
2022-08-07;0;1;6;69;2;False
2022-08-14;0;1;14;41;2;False
2022-08-21;0;1;5;100;2;False
2022-08-28;0;1;14;66;2;False
2022-09-04;0;1;3;63;2;False
2022-09-11;0;1;7;64;2;False
2022-09-18;0;1;9;38;2;False
2022-09-25;0;1;5;40;2;False
2022-10-02;2;1;6;47;2;False
2022-10-09;39;1;3;55;2;False
2022-10-16;8;1;1;64;2;False
2022-10-23;6;1;2;59;2;False
2022-10-30;5;1;3;41;2;False
2022-11-06;4;1;2;50;2;False
2022-11-13;4;1;3;27;2;False
2022-11-20;3;1;1;25;2;False
2022-11-27;3;2;4;29;2;False
2022-12-04;2;1;1;24;2;False
2022-12-11;2;1;2;23;2;False
2022-12-18;2;1;2;27;2;False
2022-12-25;0;1;1;39;2;False
2023-01-01;1;1;9;45;2;False
2023-01-08;1;1;3;52;2;False
2023-01-15;2;1;10;65;2;False
2023-01-22;2;1;2;50;2;False
2023-01-29;2;1;3;45;2;False
