date;Counselling and therapy;kyiv;Maine;Blogging;air travel;isPartial
2022-01-02;0;1;11;1;5;False
2022-01-09;0;1;13;1;6;False
2022-01-16;0;1;18;0;4;False
2022-01-23;0;3;15;1;5;False
2022-01-30;0;3;14;1;5;False
2022-02-06;0;2;12;1;5;False
2022-02-13;0;5;11;0;5;False
2022-02-20;0;100;12;1;6;False
2022-02-27;0;79;11;1;5;False
2022-03-06;0;25;11;1;5;False
2022-03-13;0;15;11;1;5;False
2022-03-20;0;10;11;1;5;False
2022-03-27;0;6;10;1;5;False
2022-04-03;0;6;11;1;5;False
2022-04-10;0;7;12;1;4;False
2022-04-17;0;4;11;1;5;False
2022-04-24;0;7;11;1;5;False
2022-05-01;0;7;11;1;5;False
2022-05-08;0;3;11;0;5;False
2022-05-15;0;3;11;1;5;False
2022-05-22;0;2;11;1;5;False
2022-05-29;0;3;11;0;5;False
2022-06-05;0;3;12;1;6;False
2022-06-12;0;3;11;1;5;False
2022-06-19;0;2;12;1;5;False
2022-06-26;0;3;12;1;5;False
2022-07-03;0;2;11;1;5;False
2022-07-10;0;2;12;1;5;False
2022-07-17;0;2;11;1;5;False
2022-07-24;0;6;13;1;5;False
2022-07-31;0;2;12;1;5;False
2022-08-07;0;2;14;1;4;False
2022-08-14;0;3;12;1;4;False
2022-08-21;0;4;12;1;4;False
2022-08-28;0;3;12;1;4;False
2022-09-04;0;3;11;1;4;False
2022-09-11;0;4;13;1;4;False
2022-09-18;0;3;13;0;4;False
2022-09-25;0;3;13;1;4;False
2022-10-02;0;3;14;0;4;False
2022-10-09;0;7;13;1;4;False
2022-10-16;0;3;13;0;3;False
2022-10-23;0;2;13;0;3;False
2022-10-30;0;3;12;1;3;False
2022-11-06;0;3;13;1;3;False
2022-11-13;0;3;12;0;3;False
2022-11-20;0;3;11;0;4;False
2022-11-27;0;3;11;1;3;False
2022-12-04;0;3;12;1;3;False
2022-12-11;0;3;12;0;3;False
2022-12-18;0;2;15;1;3;False
2022-12-25;0;2;15;1;4;False
2023-01-01;0;3;13;1;4;False
2023-01-08;0;2;11;1;4;False
2023-01-15;0;3;13;1;4;False
2023-01-22;0;2;14;0;4;False
2023-01-29;0;3;14;1;4;False
