date;Bank charges;Amnesty International;Geology;Religion;air travel;isPartial
2022-01-02;3;2;7;64;13;False
2022-01-09;2;2;7;65;14;False
2022-01-16;3;2;7;58;11;False
2022-01-23;3;2;8;62;12;False
2022-01-30;3;5;8;75;13;False
2022-02-06;3;3;7;59;14;False
2022-02-13;2;3;7;57;14;False
2022-02-20;3;2;8;74;14;False
2022-02-27;2;3;9;72;12;False
2022-03-06;2;3;8;66;13;False
2022-03-13;3;3;7;68;13;False
2022-03-20;2;3;7;64;12;False
2022-03-27;3;2;8;62;13;False
2022-04-03;3;3;7;60;12;False
2022-04-10;2;3;6;64;10;False
2022-04-17;3;2;7;71;12;False
2022-04-24;3;2;8;66;12;False
2022-05-01;4;2;8;76;12;False
2022-05-08;2;2;9;65;13;False
2022-05-15;3;2;8;63;13;False
2022-05-22;3;2;8;63;12;False
2022-05-29;4;1;7;55;13;False
2022-06-05;3;2;8;65;14;False
2022-06-12;3;2;7;56;12;False
2022-06-19;3;2;7;57;11;False
2022-06-26;3;2;6;59;12;False
2022-07-03;3;1;6;60;13;False
2022-07-10;3;2;6;62;13;False
2022-07-17;3;1;6;53;13;False
2022-07-24;3;2;5;51;13;False
2022-07-31;3;6;6;48;11;False
2022-08-07;3;5;6;52;11;False
2022-08-14;3;2;5;51;11;False
2022-08-21;3;2;6;49;9;False
2022-08-28;3;2;6;53;10;False
2022-09-04;3;1;6;58;11;False
2022-09-11;3;2;8;65;10;False
2022-09-18;3;2;8;74;9;False
2022-09-25;3;2;8;59;10;False
2022-10-02;3;3;8;64;9;False
2022-10-09;3;3;8;57;9;False
2022-10-16;2;2;8;60;8;False
2022-10-23;2;2;6;100;8;False
2022-10-30;2;3;8;68;7;False
2022-11-06;2;3;7;69;8;False
2022-11-13;2;3;8;71;7;False
2022-11-20;2;2;7;75;9;False
2022-11-27;2;2;7;88;9;False
2022-12-04;2;3;7;73;7;False
2022-12-11;2;2;7;67;8;False
2022-12-18;2;2;4;74;7;False
2022-12-25;3;1;4;68;9;False
2023-01-01;3;1;5;63;11;False
2023-01-08;2;2;7;63;10;False
2023-01-15;2;2;7;65;10;False
2023-01-22;3;2;7;65;9;False
2023-01-29;3;2;7;65;10;False
