date;Elena Ferrante;King Charles coronation;European Space Agency;Cate Blanchett;air travel;isPartial
2022-01-02;7;0;0;37;27;False
2022-01-09;3;0;1;60;30;False
2022-01-16;2;1;1;37;23;False
2022-01-23;1;0;0;18;25;False
2022-01-30;2;0;1;13;29;False
2022-02-06;2;0;1;14;29;False
2022-02-13;2;0;1;11;29;False
2022-02-20;1;0;1;11;30;False
2022-02-27;3;0;1;12;26;False
2022-03-06;2;0;0;12;27;False
2022-03-13;3;0;1;12;27;False
2022-03-20;3;0;1;11;26;False
2022-03-27;3;0;0;10;28;False
2022-04-03;2;0;0;8;26;False
2022-04-10;2;0;1;7;22;False
2022-04-17;3;0;4;9;25;False
2022-04-24;1;0;1;6;25;False
2022-05-01;1;0;0;10;26;False
2022-05-08;1;0;1;8;27;False
2022-05-15;2;0;0;7;28;False
2022-05-22;1;0;0;6;27;False
2022-05-29;2;1;0;10;27;False
2022-06-05;1;1;0;10;30;False
2022-06-12;1;0;1;8;26;False
2022-06-19;1;0;1;7;25;False
2022-06-26;1;0;1;9;26;False
2022-07-03;1;0;1;8;28;False
2022-07-10;1;0;1;10;29;False
2022-07-17;1;0;1;7;27;False
2022-07-24;1;0;0;8;27;False
2022-07-31;1;0;0;6;24;False
2022-08-07;1;1;0;7;24;False
2022-08-14;1;0;1;6;23;False
2022-08-21;1;0;1;8;20;False
2022-08-28;1;0;2;13;22;False
2022-09-04;1;99;1;10;24;False
2022-09-11;1;69;0;10;21;False
2022-09-18;0;100;1;9;20;False
2022-09-25;0;18;1;7;21;False
2022-10-02;1;28;1;8;20;False
2022-10-09;1;70;1;8;19;False
2022-10-16;1;16;1;9;17;False
2022-10-23;0;15;1;14;16;False
2022-10-30;1;13;1;10;16;False
2022-11-06;1;40;0;11;18;False
2022-11-13;1;15;2;8;15;False
2022-11-20;1;11;2;11;19;False
2022-11-27;2;13;0;12;18;False
2022-12-04;1;15;0;11;16;False
2022-12-11;1;14;2;30;16;False
2022-12-18;2;18;1;17;15;False
2022-12-25;1;27;0;13;20;False
2023-01-01;2;49;1;16;23;False
2023-01-08;2;37;1;60;21;False
2023-01-15;3;34;1;42;21;False
2023-01-22;1;49;0;25;19;False
2023-01-29;1;36;0;15;21;False
