date;Deliveroo;Welsh National Opera;Museums;The Tragedy of Macbeth;air travel;isPartial
2022-01-02;85;0;0;4;7;False
2022-01-09;77;0;0;4;7;False
2022-01-16;73;0;0;4;6;False
2022-01-23;80;0;0;2;6;False
2022-01-30;79;0;0;1;7;False
2022-02-06;75;0;0;2;7;False
2022-02-13;100;0;0;1;7;False
2022-02-20;74;0;0;0;7;False
2022-02-27;77;0;0;1;6;False
2022-03-06;80;0;0;1;7;False
2022-03-13;77;0;0;1;7;False
2022-03-20;71;0;0;1;6;False
2022-03-27;73;0;0;1;7;False
2022-04-03;76;0;0;0;6;False
2022-04-10;69;0;0;0;5;False
2022-04-17;68;0;0;0;6;False
2022-04-24;72;0;0;0;6;False
2022-05-01;83;0;0;0;6;False
2022-05-08;74;0;0;0;7;False
2022-05-15;79;0;0;0;7;False
2022-05-22;70;0;0;0;6;False
2022-05-29;78;0;0;0;7;False
2022-06-05;66;0;0;0;7;False
2022-06-12;62;0;0;0;6;False
2022-06-19;66;0;0;0;6;False
2022-06-26;71;0;0;0;6;False
2022-07-03;66;0;0;0;7;False
2022-07-10;78;0;0;0;7;False
2022-07-17;75;0;0;0;7;False
2022-07-24;67;0;0;0;7;False
2022-07-31;67;0;0;0;6;False
2022-08-07;65;0;0;0;6;False
2022-08-14;63;0;0;0;6;False
2022-08-21;66;0;0;0;5;False
2022-08-28;66;0;0;0;5;False
2022-09-04;64;0;0;0;6;False
2022-09-11;65;0;0;0;5;False
2022-09-18;67;0;0;0;5;False
2022-09-25;71;0;0;0;5;False
2022-10-02;72;0;0;0;5;False
2022-10-09;70;0;0;0;5;False
2022-10-16;67;0;0;0;4;False
2022-10-23;67;0;0;0;4;False
2022-10-30;67;0;0;0;4;False
2022-11-06;67;0;0;0;4;False
2022-11-13;72;0;0;0;4;False
2022-11-20;68;0;0;0;5;False
2022-11-27;70;0;0;0;4;False
2022-12-04;70;0;0;0;4;False
2022-12-11;70;0;0;0;4;False
2022-12-18;70;0;0;0;4;False
2022-12-25;61;0;0;0;5;False
2023-01-01;64;0;0;0;6;False
2023-01-08;57;0;0;0;5;False
2023-01-15;69;0;0;0;5;False
2023-01-22;63;0;0;0;5;False
2023-01-29;62;0;0;0;5;False
