date;kevin spacey;Backpacking holidays;Microsoft Surface;oscars;air travel;isPartial
2022-01-02;1;0;2;3;2;False
2022-01-09;1;0;2;3;2;False
2022-01-16;1;0;2;2;2;False
2022-01-23;1;0;2;2;2;False
2022-01-30;1;0;2;3;2;False
2022-02-06;1;0;2;7;2;False
2022-02-13;1;0;2;3;2;False
2022-02-20;1;0;2;3;2;False
2022-02-27;0;0;2;3;2;False
2022-03-06;1;0;2;4;2;False
2022-03-13;1;0;2;5;2;False
2022-03-20;1;0;2;8;2;False
2022-03-27;1;0;2;100;2;False
2022-04-03;1;0;2;8;2;False
2022-04-10;1;0;1;5;1;False
2022-04-17;0;0;1;3;2;False
2022-04-24;0;0;1;2;2;False
2022-05-01;1;0;2;3;2;False
2022-05-08;0;0;1;2;2;False
2022-05-15;1;0;1;2;2;False
2022-05-22;12;0;1;2;2;False
2022-05-29;2;0;1;2;2;False
2022-06-05;1;0;1;2;2;False
2022-06-12;5;0;1;2;2;False
2022-06-19;1;0;1;2;2;False
2022-06-26;1;0;1;2;2;False
2022-07-03;0;0;1;2;2;False
2022-07-10;2;0;2;2;2;False
2022-07-17;1;0;1;2;2;False
2022-07-24;0;0;1;2;2;False
2022-07-31;2;0;1;2;2;False
2022-08-07;1;0;1;2;2;False
2022-08-14;0;0;1;2;2;False
2022-08-21;1;0;2;2;1;False
2022-08-28;1;0;2;2;1;False
2022-09-04;0;0;2;2;2;False
2022-09-11;0;0;2;1;1;False
2022-09-18;0;0;2;2;1;False
2022-09-25;1;0;2;2;1;False
2022-10-02;1;0;2;2;1;False
2022-10-09;1;0;2;1;1;False
2022-10-16;3;0;2;1;1;False
2022-10-23;1;0;2;2;1;False
2022-10-30;0;0;2;2;1;False
2022-11-06;0;0;2;2;1;False
2022-11-13;3;0;2;1;1;False
2022-11-20;0;0;2;1;1;False
2022-11-27;1;0;2;2;1;False
2022-12-04;1;0;1;1;1;False
2022-12-11;1;0;1;2;1;False
2022-12-18;1;0;1;3;1;False
2022-12-25;1;0;1;3;1;False
2023-01-01;1;0;1;2;2;False
2023-01-08;1;0;2;3;1;False
2023-01-15;1;0;1;3;1;False
2023-01-22;1;0;2;7;1;False
2023-01-29;0;0;2;4;1;False
