date;Deaths in custody;Romesh Ranganathan;Toulouse;sharks;air travel;isPartial
2022-01-02;1;23;16;48;22;False
2022-01-09;0;19;31;100;24;False
2022-01-16;0;9;19;55;19;False
2022-01-23;0;10;22;55;21;False
2022-01-30;0;7;21;66;23;False
2022-02-06;0;7;23;54;24;False
2022-02-13;0;6;21;62;24;False
2022-02-20;1;6;29;50;24;False
2022-02-27;0;6;27;45;21;False
2022-03-06;0;7;27;49;22;False
2022-03-13;0;11;29;46;22;False
2022-03-20;0;14;25;52;22;False
2022-03-27;0;18;25;51;23;False
2022-04-03;0;9;29;52;21;False
2022-04-10;0;7;37;52;18;False
2022-04-17;0;5;31;54;20;False
2022-04-24;0;8;24;48;21;False
2022-05-01;0;12;37;48;21;False
2022-05-08;1;7;40;51;22;False
2022-05-15;0;8;30;52;23;False
2022-05-22;1;8;24;47;22;False
2022-05-29;1;7;27;51;22;False
2022-06-05;0;14;26;41;25;False
2022-06-12;0;16;26;49;21;False
2022-06-19;0;12;26;45;20;False
2022-06-26;0;7;24;48;21;False
2022-07-03;1;5;24;65;23;False
2022-07-10;0;5;29;66;23;False
2022-07-17;0;4;29;62;22;False
2022-07-24;1;6;27;62;22;False
2022-07-31;0;7;25;66;20;False
2022-08-07;0;7;30;63;19;False
2022-08-14;0;8;24;54;19;False
2022-08-21;0;7;25;50;17;False
2022-08-28;0;5;40;51;18;False
2022-09-04;0;5;20;51;20;False
2022-09-11;0;5;24;52;17;False
2022-09-18;0;5;19;46;16;False
2022-09-25;0;14;20;53;17;False
2022-10-02;0;11;25;48;16;False
2022-10-09;0;12;19;51;15;False
2022-10-16;0;8;23;48;14;False
2022-10-23;0;7;25;49;13;False
2022-10-30;0;6;17;46;13;False
2022-11-06;0;7;21;37;15;False
2022-11-13;0;10;20;44;12;False
2022-11-20;0;6;17;42;15;False
2022-11-27;1;27;18;39;15;False
2022-12-04;0;20;19;41;13;False
2022-12-11;1;18;23;41;13;False
2022-12-18;1;16;21;43;12;False
2022-12-25;0;33;22;55;16;False
2023-01-01;0;22;22;52;19;False
2023-01-08;0;12;24;54;17;False
2023-01-15;0;10;25;55;17;False
2023-01-22;0;8;30;56;16;False
2023-01-29;0;9;37;54;17;False
