date;Paul Mescal;Ageing;SBS;Diego Velázquez;air travel;isPartial
2022-01-02;13;21;18;0;37;False
2022-01-09;10;21;19;0;40;False
2022-01-16;10;21;25;0;32;False
2022-01-23;6;25;21;1;35;False
2022-01-30;6;24;19;0;39;False
2022-02-06;5;23;15;1;39;False
2022-02-13;6;20;16;0;39;False
2022-02-20;4;22;20;0;40;False
2022-02-27;6;24;19;0;35;False
2022-03-06;4;25;21;0;37;False
2022-03-13;5;25;19;0;37;False
2022-03-20;5;27;20;0;36;False
2022-03-27;3;25;17;0;38;False
2022-04-03;4;23;20;0;35;False
2022-04-10;4;24;20;1;30;False
2022-04-17;4;23;18;0;34;False
2022-04-24;15;24;18;0;35;False
2022-05-01;23;26;15;0;36;False
2022-05-08;8;25;20;0;37;False
2022-05-15;13;24;19;0;38;False
2022-05-22;11;19;19;0;36;False
2022-05-29;7;18;16;1;37;False
2022-06-05;5;23;17;0;41;False
2022-06-12;3;21;19;0;36;False
2022-06-19;13;22;18;0;33;False
2022-06-26;9;25;16;0;36;False
2022-07-03;4;19;17;0;38;False
2022-07-10;5;18;21;0;39;False
2022-07-17;5;16;18;0;37;False
2022-07-24;7;18;20;0;37;False
2022-07-31;5;15;18;0;33;False
2022-08-07;5;18;16;1;32;False
2022-08-14;9;16;16;0;32;False
2022-08-21;6;16;16;0;28;False
2022-08-28;4;18;17;0;30;False
2022-09-04;6;16;19;0;33;False
2022-09-11;5;21;19;0;29;False
2022-09-18;4;15;17;0;27;False
2022-09-25;4;21;18;1;28;False
2022-10-02;8;21;21;0;27;False
2022-10-09;6;20;21;0;26;False
2022-10-16;5;23;17;0;24;False
2022-10-23;6;19;17;0;22;False
2022-10-30;37;21;20;0;22;False
2022-11-06;65;23;24;0;24;False
2022-11-13;31;23;18;0;20;False
2022-11-20;24;21;24;0;26;False
2022-11-27;11;23;17;0;25;False
2022-12-04;11;22;19;0;21;False
2022-12-11;12;21;17;1;22;False
2022-12-18;38;18;15;0;20;False
2022-12-25;24;14;14;0;27;False
2023-01-01;38;20;18;0;32;False
2023-01-08;42;22;17;0;29;False
2023-01-15;33;26;18;0;28;False
2023-01-22;100;24;18;0;26;False
2023-01-29;47;26;15;0;28;False
