date;Access to water;Medical research;claire foy;Organic gardening;air travel;isPartial
2022-01-02;2;14;100;1;61;False
2022-01-09;4;17;48;2;66;False
2022-01-16;4;15;24;0;52;False
2022-01-23;6;12;29;0;57;False
2022-01-30;7;15;16;1;65;False
2022-02-06;4;14;17;0;65;False
2022-02-13;3;14;12;2;65;False
2022-02-20;4;15;9;1;66;False
2022-02-27;4;15;8;1;58;False
2022-03-06;3;15;5;1;61;False
2022-03-13;2;14;8;3;61;False
2022-03-20;4;14;6;2;59;False
2022-03-27;4;12;6;2;63;False
2022-04-03;2;12;7;1;58;False
2022-04-10;4;9;8;3;50;False
2022-04-17;2;10;8;1;56;False
2022-04-24;2;15;8;2;57;False
2022-05-01;4;14;6;2;59;False
2022-05-08;2;14;13;1;61;False
2022-05-15;4;15;7;2;63;False
2022-05-22;5;12;9;0;60;False
2022-05-29;2;12;5;1;61;False
2022-06-05;3;10;7;1;68;False
2022-06-12;4;10;6;2;59;False
2022-06-19;2;11;4;2;55;False
2022-06-26;3;12;10;2;59;False
2022-07-03;3;9;7;0;62;False
2022-07-10;4;12;4;1;65;False
2022-07-17;2;11;16;1;61;False
2022-07-24;1;10;6;1;61;False
2022-07-31;3;13;5;1;55;False
2022-08-07;3;8;6;3;53;False
2022-08-14;3;9;6;0;52;False
2022-08-21;3;9;5;0;46;False
2022-08-28;3;7;6;2;50;False
2022-09-04;3;9;29;2;54;False
2022-09-11;4;11;63;0;47;False
2022-09-18;4;10;56;1;45;False
2022-09-25;5;11;34;3;46;False
2022-10-02;2;16;18;1;44;False
2022-10-09;5;12;18;1;42;False
2022-10-16;5;13;15;3;39;False
2022-10-23;2;14;12;1;36;False
2022-10-30;4;11;12;1;36;False
2022-11-06;4;15;25;1;40;False
2022-11-13;3;18;22;2;34;False
2022-11-20;4;14;15;1;42;False
2022-11-27;4;16;20;0;41;False
2022-12-04;5;13;8;2;35;False
2022-12-11;4;11;11;0;36;False
2022-12-18;3;9;17;0;34;False
2022-12-25;2;9;14;2;44;False
2023-01-01;2;13;12;1;52;False
2023-01-08;4;14;15;2;48;False
2023-01-15;3;15;49;2;47;False
2023-01-22;5;14;76;1;43;False
2023-01-29;3;15;35;1;47;False
