date;Living wage;Harry Styles;dominic raab;Graham Coxon;air travel;isPartial
2022-01-02;4;10;0;0;4;False
2022-01-09;5;13;2;0;4;False
2022-01-16;5;33;2;0;3;False
2022-01-23;4;64;2;0;3;False
2022-01-30;5;18;2;0;4;False
2022-02-06;6;12;1;0;4;False
2022-02-13;4;9;0;0;4;False
2022-02-20;4;13;1;0;4;False
2022-02-27;5;10;2;0;4;False
2022-03-06;6;11;3;0;4;False
2022-03-13;6;10;1;0;4;False
2022-03-20;7;12;0;0;4;False
2022-03-27;8;26;1;0;4;False
2022-04-03;7;20;0;0;3;False
2022-04-10;5;23;1;0;3;False
2022-04-17;4;33;1;0;3;False
2022-04-24;5;32;1;0;3;False
2022-05-01;4;34;0;0;4;False
2022-05-08;4;28;1;0;4;False
2022-05-15;4;37;1;0;4;False
2022-05-22;5;42;1;0;4;False
2022-05-29;3;56;1;0;4;False
2022-06-05;4;48;2;0;4;False
2022-06-12;4;100;1;0;4;False
2022-06-19;4;69;2;0;3;False
2022-06-26;4;24;6;0;4;False
2022-07-03;4;23;13;0;4;False
2022-07-10;3;20;2;0;4;False
2022-07-17;3;18;1;0;4;False
2022-07-24;4;22;1;0;4;False
2022-07-31;4;25;0;0;3;False
2022-08-07;4;17;1;0;3;False
2022-08-14;4;17;0;0;3;False
2022-08-21;4;42;0;0;3;False
2022-08-28;4;96;0;0;3;False
2022-09-04;4;66;2;0;3;False
2022-09-11;4;27;0;0;3;False
2022-09-18;12;21;0;0;3;False
2022-09-25;8;26;0;0;3;False
2022-10-02;6;18;0;0;3;False
2022-10-09;5;15;0;0;3;False
2022-10-16;5;18;1;0;2;False
2022-10-23;4;17;6;0;2;False
2022-10-30;4;21;1;0;2;False
2022-11-06;4;22;3;0;2;False
2022-11-13;14;21;6;0;2;False
2022-11-20;5;16;2;0;3;False
2022-11-27;4;16;1;0;2;False
2022-12-04;4;13;1;0;2;False
2022-12-11;4;13;1;0;2;False
2022-12-18;3;17;0;0;2;False
2022-12-25;2;17;0;0;3;False
2023-01-01;4;15;0;0;3;False
2023-01-08;5;15;0;0;3;False
2023-01-15;5;14;1;0;3;False
2023-01-22;5;14;2;0;3;False
2023-01-29;5;18;5;0;3;False
