date;argos;Tupac Shakur;Australian politics;Fleetwood Mac;air travel;isPartial
2022-01-02;72;0;0;1;1;False
2022-01-09;60;0;0;1;1;False
2022-01-16;56;0;0;1;0;False
2022-01-23;55;0;0;1;1;False
2022-01-30;56;0;0;4;1;False
2022-02-06;51;0;0;2;1;False
2022-02-13;50;0;0;1;1;False
2022-02-20;52;0;0;1;1;False
2022-02-27;55;0;0;1;1;False
2022-03-06;45;0;0;1;1;False
2022-03-13;51;0;0;1;1;False
2022-03-20;53;0;0;1;1;False
2022-03-27;48;0;0;1;1;False
2022-04-03;51;0;0;1;1;False
2022-04-10;57;0;0;1;0;False
2022-04-17;52;0;0;1;1;False
2022-04-24;49;0;0;1;1;False
2022-05-01;56;0;0;1;1;False
2022-05-08;50;0;0;1;1;False
2022-05-15;53;0;0;1;1;False
2022-05-22;51;0;0;1;1;False
2022-05-29;60;0;0;1;1;False
2022-06-05;56;0;0;1;1;False
2022-06-12;58;0;0;1;1;False
2022-06-19;51;0;0;1;1;False
2022-06-26;53;0;0;1;1;False
2022-07-03;60;0;0;1;1;False
2022-07-10;73;0;0;1;1;False
2022-07-17;71;0;0;1;1;False
2022-07-24;59;0;0;1;1;False
2022-07-31;59;0;0;1;1;False
2022-08-07;64;0;0;1;1;False
2022-08-14;53;0;0;1;1;False
2022-08-21;58;0;0;1;0;False
2022-08-28;61;0;0;1;0;False
2022-09-04;59;0;0;1;1;False
2022-09-11;54;0;0;1;0;False
2022-09-18;54;0;0;1;0;False
2022-09-25;63;0;0;1;0;False
2022-10-02;61;0;0;1;0;False
2022-10-09;58;0;0;1;0;False
2022-10-16;57;0;0;1;0;False
2022-10-23;63;0;0;1;0;False
2022-10-30;64;0;0;1;0;False
2022-11-06;70;0;0;1;0;False
2022-11-13;74;0;0;1;0;False
2022-11-20;86;0;0;0;0;False
2022-11-27;77;0;0;8;0;False
2022-12-04;73;0;0;2;0;False
2022-12-11;85;0;0;2;0;False
2022-12-18;100;0;0;1;0;False
2022-12-25;88;0;0;1;0;False
2023-01-01;58;0;0;1;0;False
2023-01-08;52;0;0;1;0;False
2023-01-15;52;0;0;1;0;False
2023-01-22;52;0;0;1;0;False
2023-01-29;49;0;0;1;0;False
