date;kim kardashian;Paraguay;Disco;Harry Potter;air travel;isPartial
2022-01-02;6;0;6;100;2;False
2022-01-09;5;1;6;46;2;False
2022-01-16;5;0;6;36;1;False
2022-01-23;6;1;6;36;1;False
2022-01-30;6;1;6;33;2;False
2022-02-06;6;0;6;31;2;False
2022-02-13;8;0;6;35;2;False
2022-02-20;6;0;6;36;2;False
2022-02-27;6;0;6;43;1;False
2022-03-06;7;0;5;31;2;False
2022-03-13;8;0;6;27;2;False
2022-03-20;5;1;5;28;1;False
2022-03-27;5;1;5;27;2;False
2022-04-03;5;0;5;32;1;False
2022-04-10;11;0;6;35;1;False
2022-04-17;9;1;5;28;1;False
2022-04-24;6;0;6;25;1;False
2022-05-01;17;0;6;28;1;False
2022-05-08;7;0;6;25;2;False
2022-05-15;6;0;6;24;2;False
2022-05-22;6;0;6;23;1;False
2022-05-29;7;1;7;28;2;False
2022-06-05;5;1;8;26;2;False
2022-06-12;7;0;6;24;1;False
2022-06-19;5;0;6;21;1;False
2022-06-26;5;0;7;24;1;False
2022-07-03;5;0;6;23;2;False
2022-07-10;5;0;6;25;2;False
2022-07-17;4;0;6;23;2;False
2022-07-24;3;0;6;28;2;False
2022-07-31;7;0;6;29;1;False
2022-08-07;7;0;6;29;1;False
2022-08-14;4;0;6;29;1;False
2022-08-21;4;0;6;31;1;False
2022-08-28;4;0;6;40;1;False
2022-09-04;5;0;6;34;1;False
2022-09-11;4;0;6;29;1;False
2022-09-18;4;0;6;30;1;False
2022-09-25;4;1;6;26;1;False
2022-10-02;5;1;7;28;1;False
2022-10-09;4;1;7;39;1;False
2022-10-16;4;0;6;38;1;False
2022-10-23;6;1;6;42;1;False
2022-10-30;4;1;6;35;1;False
2022-11-06;4;1;6;39;1;False
2022-11-13;4;1;6;36;1;False
2022-11-20;4;1;6;31;1;False
2022-11-27;6;1;6;32;1;False
2022-12-04;3;0;6;32;1;False
2022-12-11;3;0;6;34;1;False
2022-12-18;3;0;5;42;1;False
2022-12-25;4;0;6;54;1;False
2023-01-01;3;0;6;43;1;False
2023-01-08;4;0;6;33;1;False
2023-01-15;4;0;6;30;1;False
2023-01-22;3;0;10;32;1;False
2023-01-29;3;1;7;33;1;False
