date;Glamping;California;Colm Tóibín;Crime;air travel;isPartial
2022-01-02;33;65;0;0;10;False
2022-01-09;35;64;0;0;11;False
2022-01-16;32;67;0;0;9;False
2022-01-23;33;77;0;0;10;False
2022-01-30;33;65;0;0;11;False
2022-02-06;30;63;0;0;11;False
2022-02-13;30;74;0;0;11;False
2022-02-20;29;72;0;0;11;False
2022-02-27;26;62;0;0;10;False
2022-03-06;31;65;0;0;10;False
2022-03-13;31;75;0;0;10;False
2022-03-20;34;78;0;0;10;False
2022-03-27;34;77;0;0;11;False
2022-04-03;33;81;0;0;10;False
2022-04-10;37;77;0;0;9;False
2022-04-17;37;80;0;0;9;False
2022-04-24;38;74;0;0;10;False
2022-05-01;43;79;0;0;10;False
2022-05-08;37;77;0;0;10;False
2022-05-15;37;80;0;0;11;False
2022-05-22;40;82;0;0;10;False
2022-05-29;42;80;0;0;10;False
2022-06-05;41;83;0;0;12;False
2022-06-12;37;75;0;0;10;False
2022-06-19;48;83;0;0;9;False
2022-06-26;49;83;0;0;10;False
2022-07-03;46;77;0;0;11;False
2022-07-10;49;82;0;0;11;False
2022-07-17;44;85;0;0;10;False
2022-07-24;57;98;0;0;10;False
2022-07-31;52;92;0;0;9;False
2022-08-07;56;92;0;0;9;False
2022-08-14;45;77;0;0;9;False
2022-08-21;43;76;0;0;8;False
2022-08-28;40;73;0;0;9;False
2022-09-04;32;74;0;0;9;False
2022-09-11;34;70;0;0;8;False
2022-09-18;28;82;0;0;8;False
2022-09-25;27;73;0;0;8;False
2022-10-02;24;76;0;0;8;False
2022-10-09;24;62;0;0;7;False
2022-10-16;21;63;0;0;7;False
2022-10-23;22;66;0;0;6;False
2022-10-30;18;65;0;0;6;False
2022-11-06;19;73;0;0;7;False
2022-11-13;18;61;0;0;6;False
2022-11-20;15;50;0;0;7;False
2022-11-27;15;55;0;0;7;False
2022-12-04;13;53;0;0;6;False
2022-12-11;13;55;0;0;6;False
2022-12-18;14;67;0;0;6;False
2022-12-25;19;69;0;0;8;False
2023-01-01;32;79;0;0;9;False
2023-01-08;32;100;0;0;8;False
2023-01-15;29;81;0;0;8;False
2023-01-22;30;96;0;0;7;False
2023-01-29;28;72;0;0;8;False
